survey_year	doc	type
2013	 133.4000	Measured
2013	  53.3000	Measured
2013	  31.9900	Measured
2013	 125.4000	Measured
2013	  32.2400	Measured
2013	 141.8000	Measured
2013	  38.9300	Measured
2013	  17.6300	Measured
2013	  16.4600	Measured
2013	  40.8800	Measured
2013	 146.0000	Measured
2014	  17.5000	Measured
2014	  56.1000	Measured
2014	 139.0000	Measured
2014	  17.0300	Measured
2014	  28.1600	Measured
2014	 345.9000	Measured
2014	 170.0000	Measured
2014	  16.7200	Measured
2014	  47.3700	Measured
2014	  19.3300	Measured
2014	 161.1000	Measured
2014	  55.1500	Measured
2014	 242.5000	Measured
2014	  23.0300	Measured
2014	  63.1700	Measured
2014	  63.0400	Measured
2014	 220.9000	Measured
2014	  35.3800	Measured
2014	 266.3000	Measured
2014	  79.8900	Measured
2014	  30.3300	Measured
2014	  38.5900	Measured
2014	 101.5000	Measured
2014	  49.7900	Measured
2014	 143.3000	Measured
2014	  56.4900	Measured
2014	       NA	Measured
2014	       NA	Measured
2014	  49.9100	Measured
2014	  38.3800	Measured
2014	  47.7500	Measured
2015	  43.3500	Measured
2015	  42.8300	Measured
2015	  38.1600	Measured
2015	  26.6200	Measured
2015	       NA	Measured
2015	  33.8900	Measured
2015	       NA	Measured
2015	  27.1500	Measured
2015	 397.2000	Measured
2015	  92.3900	Measured
2015	  35.8600	Measured
2015	  29.9100	Measured
2015	  38.9200	Measured
2015	       NA	Measured
2015	 270.9000	Measured
2015	  24.9700	Measured
2015	       NA	Measured
2015	       NA	Measured
2015	  30.2100	Measured
2015	  33.1400	Measured
2015	  75.5300	Measured
2015	       NA	Measured
2015	  24.6000	Measured
2016	  19.7708	Measured
2016	  23.9175	Measured
2016	  22.9767	Measured
2016	       NA	Measured
2016	 188.6700	Measured
2016	  67.9560	Measured
2016	  22.9069	Measured
2016	       NA	Measured
2016	       NA	Measured
2016	       NA	Measured
2016	  23.0790	Measured
2016	 335.7100	Measured
2016	  25.4155	Measured
2016	  83.7100	Measured
2016	  30.3900	Measured
2016	  39.4600	Measured
2016	 146.9225	Measured
2016	 189.9238	Measured
2016	  34.9500	Measured
2016	  79.1292	Measured
2016	 470.0150	Measured
2016	       NA	Measured
2016	  31.9080	Measured
2016	       NA	Measured
2016	  40.4933	Measured
2016	       NA	Measured
2016	  25.2250	Measured
2016	  28.6800	Measured
2016	       NA	Measured
2016	  46.0000	Measured
2016	 183.1000	Measured
2016	  41.6586	Measured
2017	       NA	Measured
2017	  51.4200	Measured
2017	 171.8950	Measured
2017	  64.5540	Measured
2017	  69.5575	Measured
2017	       NA	Measured
2017	  40.7555	Measured
2017	  64.1900	Measured
2017	  22.7983	Measured
2017	       NA	Measured
2017	       NA	Measured
2017	       NA	Measured
2017	       NA	Measured
2017	  20.3444	Measured
2017	       NA	Measured
2017	  52.6525	Measured
2017	  28.7015	Measured
2017	  29.1146	Measured
2017	  60.6690	Measured
2017	 117.7275	Measured
2017	  27.0287	Measured
2017	 143.2450	Measured
2017	  53.7273	Measured
2017	 172.0800	Measured
2017	  49.0733	Measured
2017	  25.9431	Measured
2017	       NA	Measured
2017	       NA	Measured
2017	  27.5255	Measured
2017	  50.2800	Measured
2017	  54.0700	Measured
2017	       NA	Measured
2017	       NA	Measured
2017	 122.5700	Measured
2017	  37.9133	Measured
2017	 104.5100	Measured
2017	  43.8645	Measured
2017	  74.6790	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	  28.2000	Measured
2018	       NA	Measured
2018	  41.7200	Measured
2018	  53.6800	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	  14.0600	Measured
2018	  25.3200	Measured
2018	  35.7500	Measured
2018	  19.5300	Measured
2018	  42.9000	Measured
2018	  28.0300	Measured
2018	  51.3100	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	  60.4500	Measured
2018	  39.2800	Measured
2018	   8.6200	Measured
2018	  25.1700	Measured
2018	       NA	Measured
2018	  20.3400	Measured
2018	  39.8500	Measured
2018	  42.5400	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	   8.6700	Measured
2018	  40.8400	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	  11.0400	Measured
2018	  64.4900	Measured
2018	       NA	Measured
2018	  19.6000	Measured
2018	  18.3600	Measured
2018	   9.2300	Measured
2018	  32.1800	Measured
2018	  75.4500	Measured
2018	  36.9400	Measured
2018	  22.5600	Measured
2018	  32.8900	Measured
2018	   7.0500	Measured
2018	  49.7000	Measured
2018	  20.6500	Measured
2018	  28.7800	Measured
2018	  47.7700	Measured
2018	       NA	Measured
2018	  38.1200	Measured
2018	   7.9800	Measured
2018	  16.7800	Measured
2018	  36.4200	Measured
2018	       NA	Measured
2018	  34.0500	Measured
2018	  77.3900	Measured
2018	  23.1000	Measured
2018	  58.2900	Measured
2018	  66.5500	Measured
2018	       NA	Measured
2018	  35.5700	Measured
2018	       NA	Measured
2018	  19.7800	Measured
2018	  13.8300	Measured
2018	   8.2900	Measured
2018	  31.6100	Measured
2018	  31.7700	Measured
2018	  35.8600	Measured
2018	  21.8800	Measured
2018	       NA	Measured
2018	  51.7100	Measured
2018	  49.0400	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	  20.8800	Measured
2018	  10.8000	Measured
2018	       NA	Measured
2018	  19.8800	Measured
2018	  16.4800	Measured
2018	   7.5400	Measured
2018	  62.9600	Measured
2018	  50.1700	Measured
2018	       NA	Measured
2018	  16.4100	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	       NA	Measured
2018	  52.7600	Measured
2018	  38.8400	Measured
2018	  21.0400	Measured
2018	   7.5800	Measured
2018	  45.9700	Measured
2018	  18.9300	Measured
2018	  21.5800	Measured
2018	       NA	Measured
2018	  45.0000	Measured
2018	  20.6800	Measured
2018	   8.9300	Measured
2018	       NA	Measured
2018	  48.2900	Measured
2018	  40.0900	Measured
2018	  22.0600	Measured
2018	  33.7200	Measured
2018	  75.3100	Measured
2018	  15.4000	Measured
2018	  21.7400	Measured
2018	       NA	Measured
2018	  29.4000	Measured
2018	   7.9200	Measured
2018	 139.9300	Measured
2018	  35.7600	Measured
2018	  10.9600	Measured
2018	  33.4600	Measured
2018	  31.1800	Measured
2018	       NA	Measured
