survey_year	n_no3	type
2013	 5.261000	Measured
2013	 6.744000	Measured
2013	 6.026000	Measured
2013	21.710000	Measured
2013	 6.418000	Measured
2013	12.580000	Measured
2013	 4.745000	Measured
2013	 4.175000	Measured
2013	 2.996000	Measured
2013	 8.035000	Measured
2013	 9.920000	Measured
2014	 2.709000	Measured
2014	 5.242000	Measured
2014	 6.639000	Measured
2014	 2.517000	Measured
2014	 0.449000	Measured
2014	 7.515000	Measured
2014	 3.082000	Measured
2014	 2.465000	Measured
2014	 8.327000	Measured
2014	 2.031000	Measured
2014	 4.855000	Measured
2014	 8.605000	Measured
2014	 4.446000	Measured
2014	 2.225000	Measured
2014	 4.531000	Measured
2014	 1.286000	Measured
2014	 2.283000	Measured
2014	 2.388000	Measured
2014	 1.840000	Measured
2014	 1.211000	Measured
2014	 2.124000	Measured
2014	 1.732000	Measured
2014	 0.858000	Measured
2014	 1.185000	Measured
2014	 0.106000	Measured
2014	 1.442000	Measured
2014	 0.358000	Measured
2014	 0.020000	Measured
2014	 1.262000	Measured
2014	 1.672000	Measured
2014	 1.632000	Measured
2015	 1.733000	Measured
2015	 1.837000	Measured
2015	 1.445000	Measured
2015	 2.408000	Measured
2015	 5.341000	Measured
2015	 2.384000	Measured
2015	       NA	Measured
2015	 1.779000	Measured
2015	 0.092000	Measured
2015	 1.155000	Measured
2015	 1.760000	Measured
2015	 3.117000	Measured
2015	 2.528000	Measured
2015	 4.997000	Measured
2015	 8.848000	Measured
2015	 2.423000	Measured
2015	       NA	Measured
2015	 3.992000	Measured
2015	 2.739000	Measured
2015	 2.326000	Measured
2015	 6.102000	Measured
2015	 0.002000	Measured
2015	 2.349000	Measured
2016	 2.411571	Measured
2016	 3.421500	Measured
2016	 2.641800	Measured
2016	 6.665200	Measured
2016	 0.041000	Measured
2016	 7.458833	Measured
2016	 3.656769	Measured
2016	 9.936000	Measured
2016	 7.392333	Measured
2016	 6.575667	Measured
2016	 3.737833	Measured
2016	 2.525625	Measured
2016	 3.293357	Measured
2016	 7.261714	Measured
2016	 2.895154	Measured
2016	 5.285875	Measured
2016	 8.010600	Measured
2016	 5.395250	Measured
2016	 2.774600	Measured
2016	 3.849231	Measured
2016	 6.255500	Measured
2016	 1.819500	Measured
2016	 2.642333	Measured
2016	 2.949000	Measured
2016	 2.542357	Measured
2016	20.550000	Measured
2016	 2.765714	Measured
2016	 3.168889	Measured
2016	 3.739500	Measured
2016	 7.320000	Measured
2016	       NA	Measured
2016	 4.365143	Measured
2017	 3.556714	Measured
2017	 5.470000	Measured
2017	14.485500	Measured
2017	 8.014400	Measured
2017	 2.854000	Measured
2017	 6.843500	Measured
2017	 3.572667	Measured
2017	 8.738667	Measured
2017	 3.851385	Measured
2017	 7.321800	Measured
2017	 5.356667	Measured
2017	 8.757600	Measured
2017	 6.479000	Measured
2017	 3.743500	Measured
2017	 7.221400	Measured
2017	 8.090167	Measured
2017	 2.703417	Measured
2017	 4.313077	Measured
2017	 4.377200	Measured
2017	 6.025571	Measured
2017	 6.648929	Measured
2017	 6.237167	Measured
2017	 5.228833	Measured
2017	 4.756400	Measured
2017	 5.592273	Measured
2017	 5.527357	Measured
2017	 6.359667	Measured
2017	 9.689400	Measured
2017	 4.934917	Measured
2017	 1.891500	Measured
2017	 5.254500	Measured
2017	 6.001400	Measured
2017	 4.667083	Measured
2017	 5.552500	Measured
2017	 1.574143	Measured
2017	14.844333	Measured
2017	 4.692000	Measured
2017	12.002818	Measured
2018	 3.477000	Measured
2018	 2.698000	Measured
2018	 7.294000	Measured
2018	26.930000	Measured
2018	15.460000	Measured
2018	 4.002000	Measured
2018	 3.008000	Measured
2018	10.185000	Measured
2018	 1.628000	Measured
2018	 0.801000	Measured
2018	18.228000	Measured
2018	10.769000	Measured
2018	38.330000	Measured
2018	24.420000	Measured
2018	 1.053000	Measured
2018	37.755000	Measured
2018	 0.285000	Measured
2018	11.460000	Measured
2018	 7.453000	Measured
2018	46.680000	Measured
2018	 2.803000	Measured
2018	 0.445000	Measured
2018	 2.303000	Measured
2018	10.980000	Measured
2018	 3.717000	Measured
2018	 8.555000	Measured
2018	32.775000	Measured
2018	 2.482000	Measured
2018	 4.778000	Measured
2018	 2.791000	Measured
2018	-1.000000	Measured
2018	 4.019000	Measured
2018	       NA	Measured
2018	 2.949000	Measured
2018	42.700000	Measured
2018	14.172000	Measured
2018	 1.571000	Measured
2018	15.125000	Measured
2018	 2.326000	Measured
2018	15.717000	Measured
2018	11.920000	Measured
2018	29.005000	Measured
2018	25.455000	Measured
2018	 6.880000	Measured
2018	 0.643000	Measured
2018	 6.015000	Measured
2018	 5.624000	Measured
2018	10.476000	Measured
2018	 4.590000	Measured
2018	11.247000	Measured
2018	-1.000000	Measured
2018	 6.083000	Measured
2018	 7.740000	Measured
2018	28.695000	Measured
2018	       NA	Measured
2018	11.742000	Measured
2018	19.842000	Measured
2018	 8.584000	Measured
2018	33.110000	Measured
2018	10.410000	Measured
2018	28.125000	Measured
2018	26.990000	Measured
2018	49.280000	Measured
2018	 1.870000	Measured
2018	21.750000	Measured
2018	 9.342000	Measured
2018	 7.516000	Measured
2018	16.071000	Measured
2018	 0.026000	Measured
2018	27.840000	Measured
2018	17.190000	Measured
2018	15.310000	Measured
2018	 4.291000	Measured
2018	15.882000	Measured
2018	 5.698000	Measured
2018	 5.262000	Measured
2018	 3.767000	Measured
2018	36.965000	Measured
2018	 7.195000	Measured
2018	 6.256000	Measured
2018	 0.587000	Measured
2018	10.320000	Measured
2018	15.894000	Measured
2018	25.160000	Measured
2018	 6.249000	Measured
2018	21.906000	Measured
2018	14.798000	Measured
2018	46.528000	Measured
2018	12.366000	Measured
2018	16.950000	Measured
2018	23.046000	Measured
2018	 5.998000	Measured
2018	 0.635000	Measured
2018	17.670000	Measured
2018	 4.824000	Measured
2018	 0.045000	Measured
2018	10.533000	Measured
2018	 4.706000	Measured
2018	 3.170000	Measured
2018	 8.830000	Measured
2018	       NA	Measured
2018	28.070000	Measured
2018	10.458000	Measured
2018	30.674000	Measured
2018	-1.000000	Measured
2018	17.766000	Measured
2018	25.490000	Measured
2018	 5.441000	Measured
2018	 7.279000	Measured
2018	13.812000	Measured
2018	14.895000	Measured
2018	10.887000	Measured
2018	11.448000	Measured
2018	 6.516000	Measured
2018	23.535000	Measured
2018	 6.594000	Measured
2018	34.600000	Measured
2018	 3.521000	Measured
2018	18.395000	Measured
2018	50.600000	Measured
2018	11.865000	Measured
2018	20.940000	Measured
2018	10.716000	Measured
2018	 3.558000	Measured
2018	27.710000	Measured
2018	 9.378000	Measured
2018	40.040000	Measured
2018	 0.542000	Measured
2018	 6.614000	Measured
2018	13.263000	Measured
2018	16.715000	Measured
2018	 5.647000	Measured
2018	20.225000	Measured
2018	28.780000	Measured
2018	47.380000	Measured
2018	 5.875000	Measured
2018	18.729000	Measured
2018	11.805000	Measured
2018	-1.000000	Measured
2018	19.940000	Measured
2018	15.400000	Measured
2018	15.090000	Measured
2018	21.570000	Measured
2018	 0.232000	Measured
2018	17.890000	Measured
2018	 7.168000	Measured
2018	21.740000	Measured
2018	11.470000	Measured
2018	 6.882000	Measured
2018	32.690000	Measured
2018	 4.213000	Measured
2018	10.458000	Measured
2018	 6.881000	Measured
2018	 3.878000	Measured
2018	 5.207000	Measured
2018	 5.012000	Measured
2018	35.770000	Measured
2018	37.310000	Measured
2018	26.240000	Measured
2018	 7.387000	Measured
2018	18.186000	Measured
2018	16.704000	Measured
2018	14.271000	Measured
2018	-1.000000	Measured
2018	18.114000	Measured
2018	 9.093000	Measured
2018	 0.387000	Measured
2018	 5.866000	Measured
2018	 7.186000	Measured
2018	 0.275000	Measured
2018	 7.325000	Measured
2018	 3.538000	Measured
2018	27.465000	Measured
2018	29.545000	Measured
2018	28.575000	Measured
2018	 5.885000	Measured
2018	 3.924000	Measured
2018	13.473000	Measured
2018	16.207000	Measured
2018	13.377000	Measured
2018	37.490000	Measured
2018	12.384000	Measured
2018	16.767000	Measured
2018	20.961000	Measured
2018	23.745000	Measured
2018	 6.475000	Measured
2018	31.065000	Measured
2018	17.937000	Measured
2018	10.130000	Measured
2018	 0.316000	Measured
2018	21.120000	Measured
2018	32.430000	Measured
2018	16.875000	Measured
2018	 6.928000	Measured
2018	11.520000	Measured
2018	20.955000	Measured
2018	 0.167000	Measured
2018	 2.561000	Measured
2018	24.710000	Measured
2018	 7.393000	Measured
2018	11.010000	Measured
2018	       NA	Measured
2018	 2.081000	Measured
2018	 0.155000	Measured
2018	 2.287000	Measured
2018	 3.716000	Measured
2018	18.558000	Measured
2018	23.295000	Measured
2018	15.990000	Measured
2018	19.398000	Measured
2018	16.335000	Measured
2018	10.815000	Measured
2018	 5.467000	Measured
2018	 7.321000	Measured
2018	25.026000	Measured
2018	21.705000	Measured
2018	 0.136000	Measured
2018	52.600000	Measured
2018	16.068000	Measured
2018	28.865000	Measured
2018	25.650000	Measured
2018	       NA	Measured
2018	11.094000	Measured
2018	 9.795000	Measured
2018	15.345000	Measured
2018	21.810000	Measured
2018	 4.404000	Measured
2018	 0.105000	Measured
2018	 2.049000	Measured
2018	       NA	Measured
2018	 1.327000	Measured
2018	11.007000	Measured
2018	 3.339000	Measured
2018	 8.399000	Measured
2018	22.140000	Measured
2018	16.464000	Measured
2018	12.861000	Measured
2018	 0.022000	Measured
2018	22.050000	Measured
2018	17.466000	Measured
2018	-1.000000	Measured
2018	 0.041000	Measured
2018	 1.954000	Measured
2018	21.770000	Measured
2018	29.750000	Measured
2018	15.007000	Measured
2018	12.230000	Measured
2018	 5.926000	Measured
2018	10.491000	Measured
2018	27.980000	Measured
2018	 2.681000	Measured
2019	       NA	Measured
2019	 4.648000	Measured
2019	 0.135000	Measured
2019	       NA	Measured
2019	36.600000	Measured
2019	       NA	Measured
2019	 2.780000	Measured
2019	       NA	Measured
2019	 9.100000	Measured
2019	11.883000	Measured
2019	 6.653000	Measured
2019	-1.000000	Measured
2019	13.653000	Measured
2019	 5.925000	Measured
2019	 2.208000	Measured
2019	 5.957000	Measured
2019	 8.624000	Measured
2019	 5.696000	Measured
2019	-1.000000	Measured
2019	 9.300000	Measured
2019	15.174000	Measured
2019	 8.946000	Measured
2019	 6.325000	Measured
2019	       NA	Measured
2019	 0.144000	Measured
2019	 6.782000	Measured
2019	 0.186000	Measured
2019	 9.470000	Measured
2019	 9.189000	Measured
2019	11.081000	Measured
2019	       NA	Measured
2019	       NA	Measured
2019	       NA	Measured
2019	 1.922000	Measured
2019	 1.617000	Measured
2019	21.530000	Measured
2019	 9.380000	Measured
2019	66.110000	Measured
2019	-1.000000	Measured
2019	 4.291000	Measured
2019	 2.630000	Measured
2019	 2.570000	Measured
2019	 7.246000	Measured
2019	 3.740000	Measured
2019	 9.020000	Measured
2019	 5.459000	Measured
2019	 8.255000	Measured
2019	 2.915000	Measured
2019	13.621000	Measured
2019	 5.634000	Measured
2019	 5.232000	Measured
2019	 2.110000	Measured
2019	 0.001000	Measured
2019	       NA	Measured
2019	 7.887000	Measured
2019	 3.980000	Measured
2019	 7.568000	Measured
