survey_year	p	type
1996	         NA	Measured
1996	         NA	Measured
1996	         NA	Measured
1996	         NA	Measured
1996	         NA	Measured
1996	         NA	Measured
1996	         NA	Measured
1996	         NA	Measured
1996	         NA	Measured
1996	         NA	Measured
1996	         NA	Measured
1996	         NA	Measured
1997	         NA	Measured
1997	         NA	Measured
1997	         NA	Measured
1997	         NA	Measured
1997	         NA	Measured
1997	         NA	Measured
1997	         NA	Measured
1997	         NA	Measured
1997	         NA	Measured
1997	0.110000000	Measured
1997	         NA	Measured
1997	         NA	Measured
1998	         NA	Measured
1998	         NA	Measured
1998	         NA	Measured
1998	         NA	Measured
1998	         NA	Measured
1998	         NA	Measured
1998	         NA	Measured
1998	         NA	Measured
1998	         NA	Measured
1998	         NA	Measured
1998	         NA	Measured
1998	         NA	Measured
1999	         NA	Measured
1999	         NA	Measured
1999	         NA	Measured
1999	         NA	Measured
1999	         NA	Measured
1999	         NA	Measured
1999	         NA	Measured
1999	         NA	Measured
1999	         NA	Measured
1999	         NA	Measured
1999	         NA	Measured
1999	         NA	Measured
2000	         NA	Measured
2000	         NA	Measured
2000	         NA	Measured
2000	         NA	Measured
2000	         NA	Measured
2000	         NA	Measured
2000	         NA	Measured
2000	         NA	Measured
2000	         NA	Measured
2000	         NA	Measured
2000	         NA	Measured
2000	         NA	Measured
2001	         NA	Measured
2001	         NA	Measured
2001	         NA	Measured
2001	         NA	Measured
2001	         NA	Measured
2001	         NA	Measured
2001	         NA	Measured
2001	         NA	Measured
2001	         NA	Measured
2001	         NA	Measured
2001	         NA	Measured
2001	         NA	Measured
2002	0.042000000	Measured
2002	0.024000000	Measured
2002	0.024000000	Measured
2002	0.024000000	Measured
2002	0.024000000	Measured
2002	0.024000000	Measured
2002	0.012000000	Measured
2002	0.024000000	Measured
2002	0.024000000	Measured
2002	0.012000000	Measured
2002	0.024000000	Measured
2002	0.024000000	Measured
2003	0.012000000	Measured
2003	0.012000000	Measured
2003	         NA	Measured
2003	         NA	Measured
2003	0.017000000	Measured
2003	0.012000000	Measured
2003	0.012000000	Measured
2003	0.012000000	Measured
2003	0.012000000	Measured
2003	0.012000000	Measured
2003	0.012000000	Measured
2003	0.009000000	Measured
2004	0.020000000	Measured
2004	0.020000000	Measured
2004	0.025000000	Measured
2004	0.020000000	Measured
2004	0.020000000	Measured
2004	0.020000000	Measured
2004	0.020000000	Measured
2004	0.018000000	Measured
2004	0.018000000	Measured
2004	0.020000000	Measured
2004	         NA	Measured
2004	0.020000000	Measured
2005	0.005000000	Measured
2005	0.008000000	Measured
2005	0.005000000	Measured
2005	0.005000000	Measured
2005	0.005000000	Measured
2005	         NA	Measured
2005	0.012000000	Measured
2005	0.018000000	Measured
2005	0.020000000	Measured
2005	0.017000000	Measured
2005	0.005000000	Measured
2005	0.005000000	Measured
2006	0.020000000	Measured
2006	0.020000000	Measured
2006	0.020000000	Measured
2006	0.020000000	Measured
2006	0.014000000	Measured
2006	0.020000000	Measured
2006	0.020000000	Measured
2006	0.020000000	Measured
2006	         NA	Measured
2006	         NA	Measured
2006	         NA	Measured
2006	0.009000000	Measured
2007	0.022000000	Measured
2007	0.020000000	Measured
2007	0.019000000	Measured
2007	0.018000000	Measured
2007	0.024000000	Measured
2007	0.024000000	Measured
2007	0.027000000	Measured
2007	0.024000000	Measured
2007	0.024000000	Measured
2007	0.020000000	Measured
2007	0.024000000	Measured
2007	0.006000000	Measured
2007	0.006000000	Measured
2008	0.018000000	Measured
2008	0.018000000	Measured
2008	0.006000000	Measured
2008	0.010000000	Measured
2008	0.010000000	Measured
2008	0.006000000	Measured
2008	         NA	Measured
2008	0.042000000	Measured
2008	0.006000000	Measured
2008	         NA	Measured
2008	         NA	Measured
2008	0.024000000	Measured
2008	         NA	Measured
2008	0.006000000	Measured
2008	         NA	Measured
2008	0.012000000	Measured
2008	         NA	Measured
2008	0.010000000	Measured
2009	0.006000000	Measured
2009	0.020000000	Measured
2009	0.006000000	Measured
2009	0.006000000	Measured
2009	0.010000000	Measured
2009	0.006000000	Measured
2009	0.024000000	Measured
2009	0.015000000	Measured
2009	0.017000000	Measured
2009	0.024000000	Measured
2010	         NA	Measured
2010	0.024000000	Measured
2010	0.024000000	Measured
2010	         NA	Measured
2010	0.024000000	Measured
2010	0.024000000	Measured
2010	0.024000000	Measured
2010	         NA	Measured
2010	0.024000000	Measured
2010	0.024000000	Measured
2010	         NA	Measured
2010	0.024000000	Measured
2010	0.024000000	Measured
2010	0.012000000	Measured
2011	0.008000000	Measured
2011	0.024000000	Measured
2011	0.024000000	Measured
2011	0.017000000	Measured
2011	0.008000000	Measured
2011	0.024000000	Measured
2011	0.024000000	Measured
2011	0.024000000	Measured
2011	0.024000000	Measured
2011	0.024000000	Measured
2012	0.024000000	Measured
2012	0.024000000	Measured
2012	0.024000000	Measured
2012	0.024000000	Measured
2012	0.024000000	Measured
2012	0.024000000	Measured
2013	0.019000000	Measured
2013	0.024000000	Measured
2013	0.012000000	Measured
2013	0.024000000	Measured
2013	0.024000000	Measured
2013	0.024000000	Measured
2013	0.024000000	Measured
2013	0.033000000	Measured
2013	0.024000000	Measured
2013	0.024000000	Measured
2013	0.024000000	Measured
2014	0.024000000	Measured
2014	0.008000000	Measured
2014	0.008000000	Measured
2014	0.008000000	Measured
2014	0.012000000	Measured
2014	0.009000000	Measured
2014	0.008000000	Measured
2014	0.018000000	Measured
2014	0.013000000	Measured
2014	0.012000000	Measured
2014	0.010000000	Measured
2014	0.011000000	Measured
2014	0.008000000	Measured
2015	0.011000000	Measured
2015	0.008000000	Measured
2015	0.008000000	Measured
2015	0.008000000	Measured
2015	0.008000000	Measured
2015	0.008000000	Measured
2015	0.020000000	Measured
2015	0.026000000	Measured
2015	0.028000000	Measured
2016	0.030250000	Measured
2016	0.014750000	Measured
2016	0.011500000	Measured
2016	0.020000000	Measured
2016	0.011750000	Measured
2016	0.020000000	Measured
2016	0.026000000	Measured
2016	0.034000000	Measured
2017	0.026000000	Measured
2017	0.020000000	Measured
2017	0.018666667	Measured
2017	0.026750000	Measured
2017	0.012000000	Measured
2017	0.020000000	Measured
2017	0.016000000	Measured
2017	0.020000000	Measured
2017	0.020000000	Measured
2018	0.020000000	Measured
2018	0.020000000	Measured
2018	0.016000000	Measured
2018	0.020000000	Measured
2018	0.020000000	Measured
2018	0.020000000	Measured
2018	0.020000000	Measured
2019	0.020000000	Measured
2019	0.013000000	Measured
2019	0.020000000	Measured
2019	0.020000000	Measured
2019	0.020000000	Measured
2019	0.020000000	Measured
2019	0.020000000	Measured
2019	0.020000000	Measured
2019	0.020000000	Measured
2019	0.020000000	Measured
2020	0.020000000	Measured
2020	0.020000000	Measured
2020	0.020000000	Measured
2020	0.020000000	Measured
2020	0.020000000	Measured
2020	0.020000000	Measured
2020	0.016000000	Measured
2021	0.020000000	Measured
2021	0.020000000	Measured
2021	0.020000000	Measured
2021	0.020000000	Measured
2021	0.020000000	Measured
2021	0.019000000	Measured
2021	0.013000000	Measured
2021	0.020000000	Measured
2021	0.020000000	Measured
2021	0.165000000	Measured
2021	0.020000000	Measured
2021	0.020000000	Measured
2021	0.020000000	Measured
2022	0.020000000	Measured
2022	0.020000000	Measured
2022	0.020000000	Measured
2022	0.020000000	Measured
2022	0.020000000	Measured
2022	0.020000000	Measured
2022	0.020000000	Measured
2022	0.022000000	Measured
2022	0.020000000	Measured
2022	0.020000000	Measured
2022	0.020000000	Measured
2022	0.020000000	Measured
2023	0.020000000	Measured
2023	0.020000000	Measured
2023	0.020000000	Measured
2023	0.020000000	Measured
2023	0.020000000	Measured
2023	0.020000000	Measured
2023	0.020000000	Measured
2023	0.013000000	Measured
2023	0.032000000	Measured
2023	0.044000000	Measured
2023	0.087000000	Measured
2023	0.061000000	Measured
2023	0.014000000	Measured
1996	0.049111503	Simulated
1996	0.036059142	Simulated
1996	0.016231600	Simulated
1996	0.020250382	Simulated
1996	0.028613907	Simulated
1996	0.026281336	Simulated
1996	0.027491321	Simulated
1996	0.023375194	Simulated
1996	0.027103369	Simulated
1996	0.039603932	Simulated
1996	0.020968400	Simulated
1996	0.007712800	Simulated
