survey_year	doc	type
1996	  1.84000	Measured
1996	  2.76100	Measured
1996	  6.23000	Measured
1996	  3.43000	Measured
1996	 14.80000	Measured
1996	  2.50000	Measured
1996	  9.41700	Measured
1996	  0.00000	Measured
1996	 12.78000	Measured
1996	  6.57000	Measured
1996	 26.42000	Measured
1997	  8.86000	Measured
1997	  2.91000	Measured
1997	 11.00000	Measured
1997	  5.17000	Measured
1997	  3.61000	Measured
1997	 11.32000	Measured
1997	 20.64000	Measured
1997	  2.50000	Measured
1997	  4.98400	Measured
1997	 14.15000	Measured
1997	 10.28000	Measured
1998	 20.09000	Measured
1998	  5.07000	Measured
1998	 10.70000	Measured
1998	  0.00000	Measured
1998	  3.25200	Measured
1998	  2.76000	Measured
1998	  4.55000	Measured
1998	  5.58000	Measured
1998	  4.63000	Measured
1998	  5.79000	Measured
1999	 11.95000	Measured
1999	 10.65000	Measured
1999	 10.39000	Measured
1999	  9.14000	Measured
1999	  5.97000	Measured
1999	 12.27000	Measured
1999	  7.32000	Measured
1999	  5.26000	Measured
1999	  7.80000	Measured
1999	 16.90000	Measured
1999	 11.50000	Measured
2000	  6.20000	Measured
2000	 22.50000	Measured
2000	  4.63000	Measured
2000	  0.00000	Measured
2000	  0.00000	Measured
2000	  5.16000	Measured
2000	  2.50000	Measured
2000	  5.06000	Measured
2000	  2.39000	Measured
2000	  2.50000	Measured
2001	  5.20300	Measured
2001	  9.64000	Measured
2001	  9.57000	Measured
2001	  7.21000	Measured
2001	  2.44400	Measured
2001	  6.93000	Measured
2001	  9.53700	Measured
2001	  0.00000	Measured
2001	  4.66000	Measured
2001	  5.60000	Measured
2001	  8.03000	Measured
2002	  5.62800	Measured
2002	 13.43000	Measured
2002	 18.30000	Measured
2002	 12.77000	Measured
2002	  4.64000	Measured
2002	  5.01000	Measured
2002	  6.41100	Measured
2002	  2.91000	Measured
2002	  5.67000	Measured
2002	  4.73000	Measured
2002	  4.20000	Measured
2003	  6.19400	Measured
2003	  5.26000	Measured
2003	 15.39000	Measured
2003	  3.56000	Measured
2003	 11.50000	Measured
2003	  6.93000	Measured
2003	  4.20000	Measured
2003	  3.29700	Measured
2003	  6.04000	Measured
2003	  2.78000	Measured
2004	  5.17000	Measured
2004	  2.50000	Measured
2004	  2.23000	Measured
2004	  7.50000	Measured
2004	  3.09000	Measured
2004	 17.90000	Measured
2004	  2.40000	Measured
2004	 10.65000	Measured
2004	  4.17000	Measured
2004	  4.98400	Measured
2004	  2.91000	Measured
2005	 11.08000	Measured
2005	 12.85000	Measured
2005	  7.21000	Measured
2005	  2.22000	Measured
2005	 23.24000	Measured
2005	  3.74000	Measured
2005	 36.85000	Measured
2005	  4.31500	Measured
2005	  3.92000	Measured
2005	  4.17000	Measured
2006	  3.15000	Measured
2006	 20.30000	Measured
2006	  5.32000	Measured
2006	 22.58000	Measured
2006	  6.64000	Measured
2006	  6.00700	Measured
2006	 10.98000	Measured
2006	  6.95000	Measured
2006	  2.50000	Measured
2006	  4.33000	Measured
2006	  2.70000	Measured
2007	  9.46000	Measured
2007	  2.50000	Measured
2007	  0.00000	Measured
2007	  6.20100	Measured
2007	  5.67000	Measured
2007	  8.53000	Measured
2007	  6.89000	Measured
2007	 14.81000	Measured
2007	  6.30000	Measured
2007	  4.10000	Measured
2008	  2.14000	Measured
2008	  5.49000	Measured
2008	 16.38600	Measured
2008	  2.67000	Measured
2008	 10.11000	Measured
2008	 17.90000	Measured
2008	  9.50000	Measured
2008	 16.50000	Measured
2008	  9.26300	Measured
2008	  3.57500	Measured
2008	  4.60000	Measured
2009	  5.02000	Measured
2009	 10.40000	Measured
2009	  0.00000	Measured
2009	 10.00000	Measured
2009	  7.83400	Measured
2009	  1.84000	Measured
2009	  4.59000	Measured
2009	 16.72000	Measured
2009	  2.50000	Measured
2009	  3.43000	Measured
2009	  3.03000	Measured
2010	 14.89000	Measured
2010	  2.81700	Measured
2010	  7.13000	Measured
2010	  6.91000	Measured
2010	  7.29000	Measured
2010	  3.44000	Measured
2010	 23.14000	Measured
2010	  6.04000	Measured
2010	  2.67000	Measured
2010	  4.17000	Measured
2011	  3.44000	Measured
2011	 14.30000	Measured
2011	  2.38000	Measured
2011	102.03000	Measured
2011	 16.37000	Measured
2011	 38.16000	Measured
2011	  9.75000	Measured
2011	 33.74000	Measured
2011	  4.55000	Measured
2011	  7.92400	Measured
2011	  7.12000	Measured
2012	 15.91000	Measured
2012	  5.79000	Measured
2012	  3.90000	Measured
2012	  9.94300	Measured
2012	  0.00000	Measured
2012	 11.89000	Measured
2012	  5.58500	Measured
2012	 14.80000	Measured
2012	  0.00000	Measured
2012	  5.43700	Measured
2013	  2.52000	Measured
2013	 11.00000	Measured
2013	  6.21700	Measured
2013	  5.58000	Measured
2013	  5.62000	Measured
2013	  5.76000	Measured
2013	  4.96000	Measured
2013	 11.12000	Measured
2013	 11.41000	Measured
2013	  5.12400	Measured
2013	  5.41000	Measured
2014	  5.52000	Measured
2014	 15.89000	Measured
2014	  2.02000	Measured
2014	  5.85000	Measured
2014	  6.15000	Measured
2014	  0.00000	Measured
2014	 15.89000	Measured
2014	  9.75000	Measured
2014	 27.59000	Measured
2014	  4.85000	Measured
2015	 24.04000	Measured
2015	 12.31000	Measured
2015	  4.84000	Measured
2015	 23.37000	Measured
