survey_year	n_nh4	type
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1997	 0.1700000	Measured
1997	        NA	Measured
1997	        NA	Measured
1997	 0.1500000	Measured
1997	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1998	        NA	Measured
1998	        NA	Measured
1998	        NA	Measured
1998	        NA	Measured
1998	        NA	Measured
1998	        NA	Measured
1998	        NA	Measured
1998	        NA	Measured
1998	        NA	Measured
1998	        NA	Measured
1998	        NA	Measured
1998	        NA	Measured
1999	        NA	Measured
1999	 0.1900000	Measured
1999	        NA	Measured
1999	        NA	Measured
1999	        NA	Measured
1999	        NA	Measured
1999	        NA	Measured
1999	        NA	Measured
1999	        NA	Measured
1999	 0.1700000	Measured
1999	        NA	Measured
1999	        NA	Measured
2000	        NA	Measured
2000	        NA	Measured
2000	        NA	Measured
2000	        NA	Measured
2000	        NA	Measured
2000	        NA	Measured
2000	        NA	Measured
2000	        NA	Measured
2000	        NA	Measured
2000	        NA	Measured
2000	        NA	Measured
2000	        NA	Measured
2001	        NA	Measured
2001	        NA	Measured
2001	        NA	Measured
2001	        NA	Measured
2001	        NA	Measured
2001	        NA	Measured
2001	        NA	Measured
2001	        NA	Measured
2001	        NA	Measured
2001	        NA	Measured
2001	        NA	Measured
2001	        NA	Measured
2002	 0.0340000	Measured
2002	 0.0340000	Measured
2002	 0.0590000	Measured
2002	 0.1340000	Measured
2002	 0.0340000	Measured
2002	 0.0340000	Measured
2002	 0.0590000	Measured
2002	 0.0340000	Measured
2002	 0.0340000	Measured
2002	 0.1340000	Measured
2002	 0.1090000	Measured
2002	 0.0340000	Measured
2003	 0.0840000	Measured
2003	 0.0340000	Measured
2003	        NA	Measured
2003	        NA	Measured
2003	 0.0840000	Measured
2003	 0.0840000	Measured
2003	 0.0340000	Measured
2003	 0.0340000	Measured
2003	 0.0340000	Measured
2003	 0.0340000	Measured
2003	 0.0340000	Measured
2003	 0.0340000	Measured
2004	 0.1340000	Measured
2004	 0.1340000	Measured
2004	 0.1340000	Measured
2004	 0.1340000	Measured
2004	 0.1340000	Measured
2004	 0.0340000	Measured
2004	 0.1340000	Measured
2004	 0.1340000	Measured
2004	 0.1340000	Measured
2004	 0.1340000	Measured
2004	        NA	Measured
2004	 0.1340000	Measured
2005	 0.1340000	Measured
2005	 0.1340000	Measured
2005	 0.1340000	Measured
2005	 0.1340000	Measured
2005	 0.1340000	Measured
2005	        NA	Measured
2005	 0.1630000	Measured
2005	 0.1340000	Measured
2005	 0.1580000	Measured
2005	 0.0640000	Measured
2005	 0.1340000	Measured
2005	 0.1340000	Measured
2006	 0.1140000	Measured
2006	 0.1590000	Measured
2006	 0.1690000	Measured
2006	 0.1290000	Measured
2006	 0.1990000	Measured
2006	 0.1090000	Measured
2006	 0.2000000	Measured
2006	 0.1610000	Measured
2006	        NA	Measured
2006	        NA	Measured
2006	        NA	Measured
2006	 0.1990000	Measured
2007	 0.1370000	Measured
2007	 0.0750000	Measured
2007	 0.0630000	Measured
2007	 0.1000000	Measured
2007	 0.0370000	Measured
2007	 0.0370000	Measured
2007	 0.0640000	Measured
2007	 0.0460000	Measured
2007	 0.0450000	Measured
2007	 0.0570000	Measured
2007	 0.0670000	Measured
2007	 0.0980000	Measured
2007	 0.0370000	Measured
2008	 0.0600000	Measured
2008	 0.0590000	Measured
2008	 0.0450000	Measured
2008	 0.0430000	Measured
2008	 0.0760000	Measured
2008	 0.1330000	Measured
2008	        NA	Measured
2008	 0.1000000	Measured
2008	 0.1270000	Measured
2008	        NA	Measured
2008	        NA	Measured
2008	 0.0480000	Measured
2008	        NA	Measured
2008	 0.0910000	Measured
2008	        NA	Measured
2008	 0.1350000	Measured
2008	        NA	Measured
2008	 0.0370000	Measured
2009	 0.0640000	Measured
2009	 0.0650000	Measured
2009	 0.0370000	Measured
2009	 0.0440000	Measured
2009	 0.0900000	Measured
2009	 0.1190000	Measured
2009	 0.0790000	Measured
2009	 0.0960000	Measured
2009	 0.1380000	Measured
2009	 0.0370000	Measured
2010	        NA	Measured
2010	 0.0810000	Measured
2010	 0.0420000	Measured
2010	        NA	Measured
2010	 0.0760000	Measured
2010	 0.0310000	Measured
2010	 0.0200000	Measured
2010	        NA	Measured
2010	 0.0240000	Measured
2010	 0.0220000	Measured
2010	        NA	Measured
2010	 0.0230000	Measured
2010	 0.0370000	Measured
2010	 0.0540000	Measured
2011	 0.0340000	Measured
2011	 0.0410000	Measured
2011	 0.0360000	Measured
2011	 0.0900000	Measured
2011	 0.0650000	Measured
2011	 0.2720000	Measured
2011	 0.1670000	Measured
2011	 0.1530000	Measured
2011	 0.1100000	Measured
2011	 0.0890000	Measured
2012	 0.0370000	Measured
2012	 0.0270000	Measured
2012	 0.0710000	Measured
2012	 0.0440000	Measured
2012	 0.0180000	Measured
2012	 0.0150000	Measured
2013	 0.0820000	Measured
2013	 0.0940000	Measured
2013	 0.0430000	Measured
2013	 0.1180000	Measured
2013	 0.1600000	Measured
2013	 0.0980000	Measured
2013	 0.0630000	Measured
2013	 0.1010000	Measured
2013	 0.0740000	Measured
2013	 0.0440000	Measured
2013	 0.0380000	Measured
2014	 0.1040000	Measured
2014	 0.0430000	Measured
2014	 0.0580000	Measured
2014	 0.0290000	Measured
2014	 0.1470000	Measured
2014	 0.0580000	Measured
2014	 0.0350000	Measured
2014	 0.0570000	Measured
2014	 0.0350000	Measured
2014	 0.0180000	Measured
2014	 0.0520000	Measured
2014	 0.0480000	Measured
2014	 0.0550000	Measured
2015	 0.1150000	Measured
2015	 0.0560000	Measured
2015	 0.0080000	Measured
2015	 0.0280000	Measured
2015	 0.0290000	Measured
2015	 0.1200000	Measured
2015	 0.1000000	Measured
2015	 0.2650000	Measured
2015	 0.0080000	Measured
2016	 0.0642500	Measured
2016	 0.0170000	Measured
2016	 0.0560000	Measured
2016	 0.0272500	Measured
2016	 0.0510000	Measured
2016	 0.1570000	Measured
2016	 0.1125000	Measured
2016	 0.2170000	Measured
2017	 0.3803333	Measured
2017	 0.1265000	Measured
2017	 0.1936667	Measured
2017	 0.0357500	Measured
2017	 0.0685000	Measured
2017	 0.0250000	Measured
2017	 0.0317500	Measured
2017	 0.0107500	Measured
2017	 0.1052500	Measured
2018	 0.1030000	Measured
2018	 0.0680000	Measured
2018	 0.0680000	Measured
2018	 0.1000000	Measured
2018	 0.0600000	Measured
2018	 0.0540000	Measured
2019	 1.1820000	Measured
2019	 0.0960000	Measured
2019	 0.0690000	Measured
2019	 0.0790000	Measured
2019	 0.2570000	Measured
2019	 0.1430000	Measured
2019	 0.2257889	Measured
2020	 0.2312368	Measured
2020	 0.2367090	Measured
2020	 0.2422055	Measured
2020	 0.1740000	Measured
2020	 0.0170000	Measured
2020	 0.0590000	Measured
2021	 0.2477264	Measured
2021	 0.2532719	Measured
2021	 0.2588419	Measured
2021	 0.2644368	Measured
2021	 0.2700565	Measured
2021	 0.2757012	Measured
2021	 0.0320000	Measured
2021	 0.0370000	Measured
2021	 0.2813710	Measured
2021	 0.0500000	Measured
2021	 0.2870660	Measured
2021	 0.1620000	Measured
2021	 0.8200000	Measured
2022	 1.0070000	Measured
2022	 0.6950000	Measured
2022	 0.2700000	Measured
2022	 0.0920000	Measured
2022	 0.1110000	Measured
2022	 0.5580000	Measured
2022	 2.0640000	Measured
2022	 3.5480000	Measured
2022	 6.1430000	Measured
2022	 2.8650000	Measured
2022	 4.6320000	Measured
2022	 5.2480000	Measured
2023	 4.1340000	Measured
2023	 1.7300000	Measured
2023	 0.7770000	Measured
2023	 0.6710000	Measured
2023	 0.4380000	Measured
2023	 0.5800000	Measured
2023	 4.7470000	Measured
2023	 2.7070000	Measured
2023	 0.2060000	Measured
2023	 2.0050000	Measured
2023	 0.4090000	Measured
2023	 0.0350000	Measured
2023	 0.2927863	Measured
