survey_year	p	type
1996	       NA	Measured
1996	       NA	Measured
1996	       NA	Measured
1996	       NA	Measured
1996	       NA	Measured
1996	       NA	Measured
1996	       NA	Measured
1996	       NA	Measured
1996	       NA	Measured
1996	       NA	Measured
1996	       NA	Measured
1996	       NA	Measured
1997	       NA	Measured
1997	       NA	Measured
1997	       NA	Measured
1997	       NA	Measured
1997	       NA	Measured
1997	       NA	Measured
1997	0.1400000	Measured
1997	       NA	Measured
1997	0.1800000	Measured
1997	       NA	Measured
1997	0.8800000	Measured
1997	       NA	Measured
1998	       NA	Measured
1998	       NA	Measured
1998	       NA	Measured
1998	       NA	Measured
1998	       NA	Measured
1998	0.1000000	Measured
1998	       NA	Measured
1998	       NA	Measured
1998	       NA	Measured
1998	       NA	Measured
1998	       NA	Measured
1998	       NA	Measured
1999	0.1500000	Measured
1999	       NA	Measured
1999	       NA	Measured
1999	0.1400000	Measured
1999	       NA	Measured
1999	       NA	Measured
1999	       NA	Measured
1999	       NA	Measured
1999	       NA	Measured
1999	0.1900000	Measured
1999	0.3100000	Measured
1999	       NA	Measured
2000	       NA	Measured
2000	       NA	Measured
2000	0.1400000	Measured
2000	       NA	Measured
2000	       NA	Measured
2000	       NA	Measured
2000	       NA	Measured
2000	       NA	Measured
2000	       NA	Measured
2000	       NA	Measured
2000	       NA	Measured
2000	0.1400000	Measured
2001	0.3400000	Measured
2001	0.1900000	Measured
2001	0.5300000	Measured
2001	0.1500000	Measured
2001	0.2500000	Measured
2001	0.2500000	Measured
2001	0.5100000	Measured
2001	0.2900000	Measured
2001	0.1600000	Measured
2001	0.4800000	Measured
2001	0.2200000	Measured
2001	       NA	Measured
2002	0.0790000	Measured
2002	0.0420000	Measured
2002	0.0730000	Measured
2002	0.0740000	Measured
2002	0.2150000	Measured
2002	0.2120000	Measured
2002	0.0210000	Measured
2002	0.2280000	Measured
2002	0.0210000	Measured
2002	0.0810000	Measured
2002	0.0740000	Measured
2002	0.2470000	Measured
2003	       NA	Measured
2003	0.1570000	Measured
2003	0.0620000	Measured
2003	0.3960000	Measured
2003	       NA	Measured
2003	0.0120000	Measured
2003	0.0120000	Measured
2003	0.0120000	Measured
2003	0.0530000	Measured
2003	0.0480000	Measured
2003	0.0430000	Measured
2003	       NA	Measured
2004	0.4400000	Measured
2004	0.0230000	Measured
2004	0.1130000	Measured
2004	0.6250000	Measured
2004	0.1110000	Measured
2004	0.0260000	Measured
2004	0.0350000	Measured
2004	0.0240000	Measured
2004	0.0120000	Measured
2004	0.1470000	Measured
2004	0.0260000	Measured
2004	0.0350000	Measured
2005	0.4090000	Measured
2005	0.0680000	Measured
2005	0.3200000	Measured
2005	0.3690000	Measured
2005	0.2590000	Measured
2005	0.1680000	Measured
2005	0.2550000	Measured
2005	0.7040000	Measured
2005	1.2200000	Measured
2005	0.8400000	Measured
2005	0.8940000	Measured
2005	0.3330000	Measured
2006	0.0320000	Measured
2006	0.0700000	Measured
2006	0.0990000	Measured
2006	0.2040000	Measured
2006	0.0300000	Measured
2006	0.0390000	Measured
2006	0.5590000	Measured
2006	0.1230000	Measured
2006	0.0700000	Measured
2006	       NA	Measured
2006	0.0640000	Measured
2006	0.0940000	Measured
2007	0.0290000	Measured
2007	1.1290000	Measured
2007	0.0330000	Measured
2007	0.0420000	Measured
2007	0.0590000	Measured
2007	0.0900000	Measured
2007	0.0680000	Measured
2007	0.0640000	Measured
2007	0.0290000	Measured
2007	0.0320000	Measured
2007	0.0310000	Measured
2007	0.0280000	Measured
2007	0.0200000	Measured
2008	0.0220000	Measured
2008	0.0240000	Measured
2008	0.0150000	Measured
2008	0.0150000	Measured
2008	0.0240000	Measured
2008	0.2450000	Measured
2008	0.0550000	Measured
2008	0.1260000	Measured
2008	0.1920000	Measured
2008	0.2610000	Measured
2008	0.1410000	Measured
2008	0.0560000	Measured
2008	0.0230000	Measured
2009	0.0940000	Measured
2009	0.0200000	Measured
2009	0.0200000	Measured
2009	0.0200000	Measured
2009	0.2010000	Measured
2009	0.1400000	Measured
2009	0.0810000	Measured
2009	0.1450000	Measured
2009	0.1060000	Measured
2009	0.1630000	Measured
2009	0.0470000	Measured
2009	0.0200000	Measured
2009	0.0240000	Measured
2010	0.0300000	Measured
2010	0.0280000	Measured
2010	0.0240000	Measured
2010	0.0240000	Measured
2010	0.0360000	Measured
2010	0.0270000	Measured
2010	0.3310000	Measured
2010	0.1670000	Measured
2010	0.0400000	Measured
2010	0.0240000	Measured
2010	0.0120000	Measured
2011	0.1620000	Measured
2011	0.0400000	Measured
2011	0.0310000	Measured
2011	0.0240000	Measured
2011	0.0200000	Measured
2011	0.0630000	Measured
2011	0.0420000	Measured
2011	0.0770000	Measured
2011	0.1200000	Measured
2011	0.1660000	Measured
2011	0.2260000	Measured
2011	0.1080000	Measured
2011	0.4500000	Measured
2012	0.2040000	Measured
2012	0.0570000	Measured
2012	0.3270000	Measured
2012	0.4490000	Measured
2012	0.7570000	Measured
2012	0.8550000	Measured
2012	0.6350000	Measured
2012	0.8300000	Measured
2012	1.5010000	Measured
2012	0.2830000	Measured
2012	0.2100000	Measured
2012	0.0880000	Measured
2013	0.0220000	Measured
2013	0.0600000	Measured
2013	0.0300000	Measured
2013	0.1220000	Measured
2013	0.0680000	Measured
2013	0.4330000	Measured
2013	0.0240000	Measured
2013	0.0910000	Measured
2013	0.0630000	Measured
2013	0.0300000	Measured
2013	0.0240000	Measured
2014	0.0240000	Measured
2014	0.0100000	Measured
2014	0.0090000	Measured
2014	0.0540000	Measured
2014	0.0610000	Measured
2014	0.0330000	Measured
2014	0.1720000	Measured
2014	0.0480000	Measured
2014	0.0500000	Measured
2014	0.0180000	Measured
2014	0.0170000	Measured
2014	0.0140000	Measured
2014	0.0460000	Measured
2015	0.0230000	Measured
2015	0.0180000	Measured
2015	0.0150000	Measured
2015	0.0250000	Measured
2015	0.1420000	Measured
2015	0.3920000	Measured
2015	0.0700000	Measured
2015	0.3820000	Measured
2015	0.8500000	Measured
2015	0.1130000	Measured
2015	0.0170000	Measured
2015	0.0180000	Measured
2016	0.0175000	Measured
2016	0.0182500	Measured
2016	0.0212500	Measured
2016	0.0410000	Measured
2016	0.0437500	Measured
2016	0.1645000	Measured
2016	0.0615000	Measured
2016	0.0600000	Measured
2016	0.0585000	Measured
2016	0.0100000	Measured
2017	0.0272500	Measured
2017	0.0125000	Measured
2017	0.0105000	Measured
2017	0.0142500	Measured
2017	0.0207500	Measured
2017	0.0382500	Measured
2017	0.0362500	Measured
2017	0.0500000	Measured
2017	0.0220000	Measured
2017	0.0155000	Measured
2017	0.0105000	Measured
2017	0.0700000	Measured
2017	0.0095000	Measured
2018	0.0700000	Measured
2018	0.0700000	Measured
2018	0.0160000	Measured
2018	0.0700000	Measured
2018	0.0150000	Measured
2018	0.0280000	Measured
2018	0.0380000	Measured
2018	0.0700000	Measured
2019	0.0700000	Measured
2019	0.0700000	Measured
2019	0.0700000	Measured
2019	0.0130000	Measured
2019	0.0320000	Measured
2019	0.0140000	Measured
2019	0.0360000	Measured
2019	0.0170000	Measured
2019	0.0290000	Measured
2019	0.0700000	Measured
2020	0.0700000	Measured
2020	0.0700000	Measured
2020	0.0700000	Measured
2020	0.0280000	Measured
2020	0.0350000	Measured
2020	0.0190000	Measured
2020	0.0900000	Measured
2020	0.0250000	Measured
2020	0.0700000	Measured
2020	0.0160000	Measured
2020	0.0700000	Measured
2021	0.0200000	Measured
2021	0.0700000	Measured
2021	0.0120000	Measured
2021	0.0700000	Measured
2021	0.0700000	Measured
2021	0.0260000	Measured
2021	0.0200000	Measured
2021	0.0700000	Measured
2021	0.0280000	Measured
2021	0.0700000	Measured
2021	0.0700000	Measured
2022	0.0700000	Measured
2022	0.0700000	Measured
2022	0.0700000	Measured
2022	0.0700000	Measured
2022	0.0320000	Measured
2022	0.0130000	Measured
2022	0.0140000	Measured
2022	0.0700000	Measured
2023	0.0700000	Measured
2023	0.0120000	Measured
2023	0.0130000	Measured
2023	0.0170000	Measured
2023	0.0250000	Measured
2023	0.0180000	Measured
2023	0.0130000	Measured
2023	0.0700000	Measured
2023	0.0700000	Measured
