survey_year	doc	type
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1998	  21.06000	Measured
1998	  20.68000	Measured
1998	  23.06000	Measured
1998	  24.79000	Measured
1998	  24.95000	Measured
1998	  19.37000	Measured
1998	  20.07000	Measured
1998	  22.64000	Measured
1998	  20.89000	Measured
1998	  23.41000	Measured
1998	  16.57000	Measured
1998	  19.54000	Measured
1999	  43.94000	Measured
1999	  18.30000	Measured
1999	  24.26000	Measured
1999	  16.57000	Measured
1999	  13.83000	Measured
1999	  13.80000	Measured
1999	  16.51000	Measured
1999	        NA	Measured
1999	  19.17000	Measured
1999	  18.61000	Measured
1999	  36.36000	Measured
1999	  18.77000	Measured
2000	  20.58000	Measured
2000	  17.91000	Measured
2000	  22.64000	Measured
2000	  28.00000	Measured
2000	  16.26000	Measured
2000	  14.41000	Measured
2000	  15.95000	Measured
2000	  15.51000	Measured
2000	  19.53000	Measured
2000	  20.59000	Measured
2000	  14.51000	Measured
2000	  35.26000	Measured
2001	  26.70000	Measured
2001	  13.85000	Measured
2001	  13.85000	Measured
2001	  23.01000	Measured
2001	  16.48000	Measured
2001	  17.35000	Measured
2001	  13.57000	Measured
2001	  17.03000	Measured
2001	  16.50000	Measured
2001	  16.91000	Measured
2001	  20.73000	Measured
2001	  14.35000	Measured
2002	  16.00000	Measured
2002	  19.00000	Measured
2002	  19.00000	Measured
2002	  23.00000	Measured
2002	  16.00000	Measured
2002	        NA	Measured
2002	  13.00000	Measured
2002	  14.00000	Measured
2002	  18.00000	Measured
2002	  17.00000	Measured
2002	        NA	Measured
2002	  14.00000	Measured
2003	  17.29000	Measured
2003	  15.82000	Measured
2003	  14.18000	Measured
2003	        NA	Measured
2003	  13.67000	Measured
2003	  12.92000	Measured
2003	        NA	Measured
2003	        NA	Measured
2003	  16.36000	Measured
2003	  13.05000	Measured
2003	  20.12000	Measured
2003	  13.65000	Measured
2004	  15.14000	Measured
2004	  18.03000	Measured
2004	  14.40000	Measured
2004	  19.37000	Measured
2004	  22.65000	Measured
2004	  16.54000	Measured
2004	  16.02000	Measured
2004	  15.56000	Measured
2004	  22.62000	Measured
2004	  14.86000	Measured
2004	  22.69000	Measured
2004	  19.23000	Measured
2005	  13.42000	Measured
2005	  11.44000	Measured
2005	  24.94000	Measured
2005	  11.56000	Measured
2005	  11.58000	Measured
2005	  11.44000	Measured
2005	  11.53000	Measured
2005	  12.37000	Measured
2005	  20.40000	Measured
2005	  16.85000	Measured
2005	  12.93000	Measured
2005	  20.41000	Measured
2006	  -1.00000	Measured
2006	        NA	Measured
2006	  -1.00000	Measured
2006	  -1.00000	Measured
2006	  -1.00000	Measured
2006	  -1.00000	Measured
2006	        NA	Measured
2006	  -1.00000	Measured
2006	  -1.00000	Measured
2006	  -1.00000	Measured
2006	  -1.00000	Measured
2006	  -1.00000	Measured
2007	        NA	Measured
2007	        NA	Measured
2007	        NA	Measured
2007	        NA	Measured
2007	        NA	Measured
2007	        NA	Measured
2007	        NA	Measured
2007	        NA	Measured
2007	        NA	Measured
2007	        NA	Measured
2007	        NA	Measured
2007	        NA	Measured
2007	        NA	Measured
2008	        NA	Measured
2008	        NA	Measured
2008	        NA	Measured
2008	        NA	Measured
2008	        NA	Measured
2008	        NA	Measured
2008	        NA	Measured
2008	        NA	Measured
2008	        NA	Measured
2008	        NA	Measured
2008	        NA	Measured
2009	        NA	Measured
2009	        NA	Measured
2009	        NA	Measured
2009	        NA	Measured
2009	        NA	Measured
2009	        NA	Measured
2010	  13.83000	Measured
2010	  21.31000	Measured
2010	  19.71000	Measured
2010	  17.41000	Measured
2011	  17.14000	Measured
2011	  15.35000	Measured
2011	  12.21000	Measured
2011	  14.25000	Measured
2011	  11.78000	Measured
2011	  15.59000	Measured
2011	  18.05000	Measured
2011	  17.97000	Measured
2012	  13.46000	Measured
2012	  11.72000	Measured
2012	  11.87000	Measured
2012	  20.55000	Measured
2012	  20.30000	Measured
2013	  18.09000	Measured
2013	  15.54000	Measured
2013	  10.43000	Measured
2013	  10.36000	Measured
2013	  23.48000	Measured
2013	  16.50000	Measured
2013	  15.05000	Measured
2014	   9.71500	Measured
2014	   9.52000	Measured
2014	   8.65500	Measured
2014	   8.86000	Measured
2014	   9.34000	Measured
2014	  12.23000	Measured
2014	  16.49000	Measured
2014	  17.54000	Measured
2014	  18.06000	Measured
2014	  14.81000	Measured
2014	  12.53000	Measured
2015	   8.49000	Measured
2015	   7.07000	Measured
2015	   7.16000	Measured
2015	   6.32000	Measured
2015	   7.51500	Measured
2015	  11.13000	Measured
2015	  15.40000	Measured
2016	  10.82500	Measured
2016	   7.90000	Measured
2016	   7.10000	Measured
2016	   7.01500	Measured
2016	   7.12000	Measured
2016	   8.34500	Measured
2016	  15.21000	Measured
2016	  11.78500	Measured
2017	   9.91500	Measured
2017	  11.48500	Measured
2017	   8.81000	Measured
2017	   9.06000	Measured
2017	   8.53500	Measured
2017	  13.54000	Measured
2017	  15.08500	Measured
2017	  15.16500	Measured
2017	  12.45000	Measured
2017	   9.70000	Measured
2017	   7.83500	Measured
2018	  20.99000	Measured
2018	   6.87000	Measured
2018	   9.41000	Measured
2018	   9.23000	Measured
2018	  18.53000	Measured
2019	  14.02000	Measured
2019	  11.35000	Measured
2019	  13.90000	Measured
2019	  15.84000	Measured
2019	  15.91000	Measured
2019	  16.39000	Measured
2019	  22.04500	Measured
2019	  20.40900	Measured
2019	  17.43000	Measured
2020	  13.31000	Measured
2020	  11.50000	Measured
2020	   9.63000	Measured
2020	  13.72000	Measured
2020	  13.88600	Measured
2020	  17.54700	Measured
2020	  14.90100	Measured
2020	  14.30600	Measured
2021	  26.05300	Measured
2021	  11.42500	Measured
1996	  21.08384	Simulated
1996	  14.16196	Simulated
1996	  12.35040	Simulated
1996	  14.49422	Simulated
1996	  14.02734	Simulated
1996	  17.59755	Simulated
1996	  14.16733	Simulated
1996	  16.03241	Simulated
1996	  14.36600	Simulated
1997	  18.28117	Simulated
1997	  17.94005	Simulated
1997	  14.18560	Simulated
1997	  18.59587	Simulated
1997	  13.38258	Simulated
1997	  16.73213	Simulated
1997	  13.93383	Simulated
1997	  16.29000	Simulated
1997	  50.09040	Simulated
1998	  17.68335	Simulated
1998	  19.34600	Simulated
1998	  16.63776	Simulated
1998	  20.14498	Simulated
1998	  15.70822	Simulated
1998	  14.19271	Simulated
1998	  13.39291	Simulated
1998	  15.37499	Simulated
1998	  35.70693	Simulated
1999	  15.29681	Simulated
1999	  17.80960	Simulated
1999	  16.08684	Simulated
1999	  17.66948	Simulated
1999	  14.81017	Simulated
1999	  16.03212	Simulated
1999	  13.65878	Simulated
1999	  14.41200	Simulated
1999	  41.11520	Simulated
2000	  16.95227	Simulated
2000	  18.84680	Simulated
2000	  15.22000	Simulated
2000	  15.57873	Simulated
2000	  16.14706	Simulated
2000	  13.91614	Simulated
2000	  14.46379	Simulated
2000	  22.98440	Simulated
2001	  18.05799	Simulated
2001	  15.50360	Simulated
2001	  12.24360	Simulated
2001	  15.47700	Simulated
2001	  13.36570	Simulated
2001	  16.95052	Simulated
2001	  12.61739	Simulated
2001	  14.43163	Simulated
2001	  31.00960	Simulated
2002	  75.87636	Simulated
2002	  31.51619	Simulated
2002	  13.30400	Simulated
2002	  17.94058	Simulated
2002	  13.58678	Simulated
2002	  14.00468	Simulated
2002	  12.79561	Simulated
2002	  12.94927	Simulated
2002	  25.18920	Simulated
2003	  16.59372	Simulated
2003	  15.59280	Simulated
2003	  13.61341	Simulated
2003	  19.67646	Simulated
2003	  13.92668	Simulated
2003	  12.59666	Simulated
2003	  11.93110	Simulated
2003	  12.94180	Simulated
2003	  22.53960	Simulated
