survey_year	n_no3	type
1996	        NA	Measured
1996	 1.4000000	Measured
1996	 3.2000000	Measured
1996	 3.3000000	Measured
1996	        NA	Measured
1996	 0.3000000	Measured
1996	 4.8000000	Measured
1996	        NA	Measured
1996	        NA	Measured
1996	 2.3000000	Measured
1996	        NA	Measured
1996	 0.3000000	Measured
1997	        NA	Measured
1997	 0.6000000	Measured
1997	 0.4000000	Measured
1997	        NA	Measured
1997	 0.5100000	Measured
1997	        NA	Measured
1997	 0.6600000	Measured
1997	 0.6400000	Measured
1997	 1.0800000	Measured
1997	 0.2500000	Measured
1997	 4.9000000	Measured
1997	 0.9000000	Measured
1998	 1.5400000	Measured
1998	 2.0000000	Measured
1998	 1.8500000	Measured
1998	 2.5500000	Measured
1998	 2.1200000	Measured
1998	 1.7400000	Measured
1998	 1.1000000	Measured
1998	 0.2500000	Measured
1998	 1.1200000	Measured
1998	 0.5800000	Measured
1998	 0.5400000	Measured
1998	 0.3500000	Measured
1999	 1.6600000	Measured
1999	 0.9500000	Measured
1999	 1.9200000	Measured
1999	 2.3000000	Measured
1999	 2.9200000	Measured
1999	 1.9000000	Measured
1999	 1.3700000	Measured
1999	 1.3000000	Measured
1999	 2.8500000	Measured
1999	 3.1900000	Measured
1999	 2.4500000	Measured
1999	 1.0700000	Measured
2000	 1.0700000	Measured
2000	 1.1800000	Measured
2000	 1.2100000	Measured
2000	 1.6100000	Measured
2000	 1.0400000	Measured
2000	 1.2100000	Measured
2000	 1.6200000	Measured
2000	 0.8000000	Measured
2000	 1.4800000	Measured
2000	 1.1600000	Measured
2000	 0.5400000	Measured
2000	 1.3500000	Measured
2001	 4.7600000	Measured
2001	 1.1000000	Measured
2001	 2.1500000	Measured
2001	 2.0400000	Measured
2001	 0.9000000	Measured
2001	 1.7100000	Measured
2001	 2.0500000	Measured
2001	 0.4400000	Measured
2001	 1.2000000	Measured
2001	 1.7400000	Measured
2001	 1.7800000	Measured
2001	 1.2500000	Measured
2002	 0.4060000	Measured
2002	 0.7340000	Measured
2002	 1.0690000	Measured
2002	 1.3810000	Measured
2002	 2.1590000	Measured
2002	 0.9760000	Measured
2002	 0.2300000	Measured
2002	 0.3390000	Measured
2002	 0.2080000	Measured
2002	 0.9570000	Measured
2002	 1.1060000	Measured
2002	 1.9770000	Measured
2003	        NA	Measured
2003	 0.5780000	Measured
2003	 0.3430000	Measured
2003	 1.1350000	Measured
2003	        NA	Measured
2003	 0.8680000	Measured
2003	 0.5720000	Measured
2003	 1.0030000	Measured
2003	 0.4290000	Measured
2003	 1.4050000	Measured
2003	 0.5570000	Measured
2003	        NA	Measured
2004	 4.0600000	Measured
2004	 0.1540000	Measured
2004	 5.2660000	Measured
2004	 2.8190000	Measured
2004	 3.4250000	Measured
2004	 0.7240000	Measured
2004	 0.7920000	Measured
2004	 0.4950000	Measured
2004	 0.3980000	Measured
2004	 4.1540000	Measured
2004	 1.1730000	Measured
2004	 0.6130000	Measured
2005	 1.7930000	Measured
2005	 0.9500000	Measured
2005	 3.6620000	Measured
2005	 3.8130000	Measured
2005	 3.6810000	Measured
2005	 0.8780000	Measured
2005	 2.6560000	Measured
2005	 6.0010000	Measured
2005	 3.3520000	Measured
2005	 8.7750000	Measured
2005	 9.7340000	Measured
2005	 5.5180000	Measured
2006	 0.7140000	Measured
2006	 0.9560000	Measured
2006	 0.6860000	Measured
2006	 0.8810000	Measured
2006	 0.1270000	Measured
2006	 0.5510000	Measured
2006	 0.1120000	Measured
2006	 2.1660000	Measured
2006	 1.3800000	Measured
2006	        NA	Measured
2006	 1.4380000	Measured
2006	 4.6930000	Measured
2007	 0.5560000	Measured
2007	 0.9620000	Measured
2007	 0.9500000	Measured
2007	 1.0060000	Measured
2007	 0.8850000	Measured
2007	 1.0540000	Measured
2007	 2.0440000	Measured
2007	 3.0780000	Measured
2007	 2.9270000	Measured
2007	 2.2750000	Measured
2007	 0.8840000	Measured
2007	 1.7680000	Measured
2007	 1.6100000	Measured
2008	 2.1960000	Measured
2008	 1.3400000	Measured
2008	 2.1490000	Measured
2008	 2.1200000	Measured
2008	 2.8660000	Measured
2008	 1.7210000	Measured
2008	 2.8910000	Measured
2008	 5.7480000	Measured
2008	 3.5890000	Measured
2008	 1.0000000	Measured
2008	 0.2340000	Measured
2008	 0.2260000	Measured
2008	 0.4430000	Measured
2009	 0.3520000	Measured
2009	 0.9720000	Measured
2009	 1.1270000	Measured
2009	 0.8220000	Measured
2009	 0.2950000	Measured
2009	 0.6310000	Measured
2009	 0.5950000	Measured
2009	 2.6960000	Measured
2009	 1.4170000	Measured
2009	 1.6160000	Measured
2009	 0.5100000	Measured
2009	 0.1920000	Measured
2009	 0.3170000	Measured
2010	 0.6520000	Measured
2010	 1.4550000	Measured
2010	 2.6960000	Measured
2010	 1.6150000	Measured
2010	 2.3760000	Measured
2010	 2.8620000	Measured
2010	 0.9000000	Measured
2010	 0.6060000	Measured
2010	 0.2220000	Measured
2010	 0.1470000	Measured
2010	 0.3340000	Measured
2011	 1.0430000	Measured
2011	 1.0630000	Measured
2011	 1.1840000	Measured
2011	 1.5220000	Measured
2011	 1.6790000	Measured
2011	 0.1870000	Measured
2011	 1.0030000	Measured
2011	 1.2360000	Measured
2011	 7.2820000	Measured
2011	 8.8070000	Measured
2011	11.2600000	Measured
2011	 1.0160000	Measured
2011	 9.6280000	Measured
2012	 3.1200000	Measured
2012	 2.3540000	Measured
2012	 4.9160000	Measured
2012	 8.4510000	Measured
2012	12.0700000	Measured
2012	14.0900000	Measured
2012	15.5900000	Measured
2012	13.0800000	Measured
2012	 0.9940000	Measured
2012	 4.6630000	Measured
2012	 0.8060000	Measured
2012	 0.4070000	Measured
2013	 0.4070000	Measured
2013	 0.5340000	Measured
2013	 1.1080000	Measured
2013	 1.1540000	Measured
2013	 1.2670000	Measured
2013	 0.3480000	Measured
2013	 0.0100000	Measured
2013	 1.3370000	Measured
2013	 0.2320000	Measured
2013	 0.0880000	Measured
2013	 0.1690000	Measured
2014	 0.4210000	Measured
2014	 0.6060000	Measured
2014	 0.7520000	Measured
2014	 0.7860000	Measured
2014	 0.4820000	Measured
2014	 1.7630000	Measured
2014	 1.4680000	Measured
2014	 1.3520000	Measured
2014	 1.7540000	Measured
2014	 1.1100000	Measured
2014	 0.9470000	Measured
2014	 0.9140000	Measured
2014	 2.6220000	Measured
2015	 3.0660000	Measured
2015	 3.5120000	Measured
2015	 5.3170000	Measured
2015	 3.2920000	Measured
2015	 3.7030000	Measured
2015	 2.6040000	Measured
2015	 3.6200000	Measured
2015	 6.6520000	Measured
2015	 2.1130000	Measured
2015	 3.0520000	Measured
2015	 0.1410000	Measured
2015	 0.1560000	Measured
2016	 0.4342500	Measured
2016	 0.5465000	Measured
2016	 0.3712500	Measured
2016	 0.7075000	Measured
2016	 0.5675000	Measured
2016	 0.5442500	Measured
2016	 1.1202500	Measured
2016	 2.3630000	Measured
2016	 0.2805000	Measured
2016	 0.1090000	Measured
2017	 0.2252500	Measured
2017	 0.9137500	Measured
2017	 0.4297500	Measured
2017	 0.2832500	Measured
2017	 0.4407500	Measured
2017	 0.2955000	Measured
2017	 1.2325000	Measured
2017	 0.3272500	Measured
2017	 0.1916667	Measured
2017	 0.0163333	Measured
2017	 0.0070000	Measured
2017	 0.2020000	Measured
2017	 0.3480000	Measured
2018	 1.2280000	Measured
2018	 1.0580000	Measured
2018	 1.7260000	Measured
2018	 2.4230000	Measured
2018	 1.7100000	Measured
2018	 0.3450000	Measured
2018	 0.2250000	Measured
2018	 0.0290000	Measured
2019	 0.0830000	Measured
2019	 0.3980000	Measured
2019	 0.2330000	Measured
2019	 0.0570000	Measured
2019	 0.0760000	Measured
2019	 0.1110000	Measured
2019	 0.0850000	Measured
2019	 0.0370000	Measured
2019	 1.5815385	Measured
2019	 1.5898126	Measured
2020	 0.0070000	Measured
2020	 0.0170000	Measured
2020	 0.0210000	Measured
2020	 0.1540000	Measured
2020	 0.1220000	Measured
2020	 0.0200000	Measured
2020	 0.7460000	Measured
2020	 0.0870000	Measured
2020	 0.0150000	Measured
2020	 0.0100000	Measured
2020	 0.0090000	Measured
2021	 0.0420000	Measured
2021	 0.1200000	Measured
2021	 0.4670000	Measured
2021	 0.4990000	Measured
2021	 0.5870000	Measured
