YEAR	LBKANN_observed	LBKANN_simulated	SLBUNN_observed	SLBUNN_simulated	KLDGNN_observed	KLDGNN_simulated
1996	249.5	233.047	531.6	516.345	   NA	     NA
1997	265.9	240.848	541.1	527.622	   NA	     NA
1998	282.2	252.761	550.7	532.047	   NA	     NA
1999	298.6	265.159	560.2	537.942	   NA	     NA
2000	297.6	277.934	521.8	538.494	   NA	     NA
2001	314.0	289.525	528.0	403.421	   NA	     NA
2002	330.4	302.109	534.2	397.086	   NA	     NA
2003	346.7	316.322	540.3	403.466	   NA	     NA
2004	363.1	330.760	546.5	409.296	   NA	     NA
2005	357.9	347.234	433.4	411.579	   NA	     NA
2006	375.8	362.224	441.8	415.932	   NA	     NA
2007	393.7	378.392	450.3	421.238	   NA	     NA
2008	403.2	394.212	457.0	427.201	   NA	     NA
2009	416.4	410.478	463.2	419.040	   NA	     NA
2010	359.0	359.797	403.1	421.618	   NA	     NA
2011	374.4	378.505	403.1	423.882	   NA	     NA
2012	391.3	392.596	408.0	415.408	377.0	371.426
2013	401.5	402.467	413.4	420.425	392.9	385.085
2014	408.0	414.271	417.9	424.242	420.7	400.089
2015	419.4	424.781	378.7	426.434	445.4	405.636
2016	428.4	442.428	384.5	432.177	461.8	421.036
2017	440.3	458.517	389.3	422.048	485.3	432.645
2018	449.5	470.630	395.5	430.165	472.6	438.541
2019	449.5	465.325	383.9	428.504	472.6	448.432
2020	455.2	413.347	389.0	433.344	514.7	453.930
2021	455.2	280.533	   NA	     NA	536.7	467.265
2022	   NA	     NA	   NA	     NA	551.0	482.970
