V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
249.250	249.250	249.250	249.250	249.250	249.250	249.250	249.250	249.250	249.250	249.250	249.250	249.250	249.250	249.250
277.439	277.647	277.829	277.987	278.124	278.242	278.343	278.429	278.502	278.562	278.610	278.648	278.676	278.695	278.704
280.778	280.603	280.449	280.316	280.200	280.101	280.015	279.943	279.881	279.831	279.790	279.758	279.734	279.719	279.711
281.684	281.404	281.160	280.948	280.764	280.605	280.469	280.353	280.255	280.175	280.109	280.058	280.021	279.996	279.984
280.665	280.502	280.360	280.237	280.130	280.038	279.959	279.891	279.835	279.788	279.750	279.720	279.698	279.684	279.677
279.646	279.601	279.561	279.526	279.496	279.471	279.448	279.430	279.414	279.401	279.390	279.382	279.375	279.371	279.369
278.288	278.398	278.495	278.579	278.652	278.714	278.768	278.814	278.853	278.884	278.910	278.930	278.945	278.955	278.960
279.193	279.200	279.206	279.211	279.215	279.218	279.222	279.224	279.227	279.228	279.230	279.231	279.232	279.233	279.233
279.193	279.200	279.206	279.211	279.215	279.218	279.222	279.224	279.227	279.228	279.230	279.231	279.232	279.233	279.233
274.552	275.092	275.563	275.973	276.328	276.635	276.898	277.121	277.309	277.465	277.591	277.690	277.762	277.810	277.833
270.929	271.886	272.721	273.446	274.075	274.618	275.084	275.480	275.813	276.089	276.312	276.486	276.615	276.699	276.741
275.684	276.094	276.452	276.763	277.032	277.265	277.464	277.634	277.777	277.895	277.991	278.066	278.121	278.157	278.175
276.023	276.395	276.718	277.000	277.243	277.454	277.634	277.788	277.917	278.024	278.111	278.178	278.228	278.261	278.277
273.193	273.890	274.497	275.026	275.483	275.878	276.217	276.506	276.748	276.949	277.112	277.238	277.332	277.393	277.424
271.721	272.587	273.342	273.999	274.568	275.059	275.480	275.839	276.140	276.390	276.592	276.750	276.866	276.942	276.980
274.438	274.992	275.475	275.894	276.258	276.572	276.841	277.070	277.263	277.422	277.551	277.652	277.726	277.775	277.799
276.816	277.096	277.340	277.552	277.736	277.895	278.031	278.147	278.245	278.325	278.391	278.442	278.479	278.504	278.516
275.910	276.294	276.629	276.921	277.173	277.391	277.578	277.737	277.870	277.981	278.071	278.141	278.192	278.226	278.243
272.061	272.888	273.609	274.236	274.779	275.248	275.650	275.993	276.281	276.519	276.712	276.862	276.973	277.046	277.082
272.174	272.988	273.698	274.315	274.850	275.311	275.707	276.044	276.327	276.562	276.752	276.900	277.009	277.081	277.116
273.872	274.491	275.030	275.499	275.906	276.257	276.557	276.813	277.029	277.207	277.351	277.464	277.547	277.601	277.628
269.910	270.984	271.921	272.736	273.442	274.051	274.573	275.018	275.392	275.702	275.952	276.148	276.292	276.387	276.434
271.835	272.688	273.431	274.078	274.639	275.122	275.537	275.890	276.187	276.433	276.632	276.787	276.902	276.977	277.014
273.533	274.190	274.764	275.262	275.695	276.068	276.387	276.659	276.888	277.078	277.231	277.351	277.439	277.497	277.526
268.778	269.983	271.033	271.946	272.738	273.421	274.007	274.505	274.924	275.272	275.553	275.772	275.933	276.040	276.092
271.608	272.487	273.254	273.920	274.498	274.996	275.424	275.787	276.093	276.347	276.552	276.712	276.830	276.907	276.946
278.854	278.899	278.939	278.974	279.004	279.029	279.052	279.070	279.086	279.099	279.110	279.118	279.125	279.129	279.131
274.325	274.892	275.386	275.815	276.187	276.509	276.784	277.019	277.216	277.379	277.511	277.614	277.690	277.740	277.765
277.722	277.897	278.051	278.184	278.300	278.399	278.485	278.557	278.619	278.669	278.710	278.742	278.766	278.781	278.789
281.910	281.604	281.338	281.106	280.904	280.731	280.582	280.455	280.349	280.261	280.189	280.134	280.093	280.066	280.052
279.307	279.300	279.294	279.289	279.285	279.282	279.278	279.276	279.273	279.272	279.270	279.269	279.268	279.267	279.267
278.514	278.599	278.673	278.737	278.792	278.840	278.882	278.917	278.946	278.970	278.990	279.006	279.017	279.024	279.028
272.627	273.389	274.053	274.631	275.131	275.563	275.934	276.249	276.514	276.734	276.912	277.050	277.153	277.220	277.253
272.967	273.690	274.320	274.868	275.343	275.752	276.104	276.403	276.655	276.863	277.032	277.163	277.260	277.324	277.355
276.703	276.996	277.251	277.473	277.666	277.832	277.975	278.096	278.198	278.282	278.351	278.404	278.443	278.469	278.482
275.005	275.493	275.919	276.289	276.610	276.887	277.124	277.326	277.496	277.637	277.751	277.840	277.905	277.949	277.970
272.627	273.389	274.053	274.631	275.131	275.563	275.934	276.249	276.514	276.734	276.912	277.050	277.153	277.220	277.253
272.740	273.489	274.142	274.710	275.202	275.626	275.991	276.300	276.561	276.777	276.952	277.088	277.188	277.254	277.287
271.155	272.087	272.898	273.604	274.216	274.744	275.197	275.582	275.906	276.175	276.392	276.562	276.686	276.768	276.809
270.250	271.285	272.188	272.973	273.653	274.240	274.743	275.172	275.532	275.831	276.072	276.261	276.400	276.491	276.536
269.684	270.784	271.743	272.578	273.301	273.925	274.460	274.915	275.299	275.616	275.872	276.073	276.220	276.317	276.365
268.325	269.582	270.677	271.630	272.456	273.169	273.780	274.300	274.737	275.100	275.393	275.622	275.790	275.901	275.956
276.590	276.896	277.162	277.394	277.596	277.769	277.918	278.045	278.151	278.239	278.311	278.366	278.407	278.434	278.448
273.759	274.391	274.942	275.420	275.835	276.194	276.501	276.762	276.982	277.164	277.311	277.426	277.511	277.567	277.594
273.759	274.391	274.942	275.420	275.835	276.194	276.501	276.762	276.982	277.164	277.311	277.426	277.511	277.567	277.594
278.741	278.799	278.850	278.895	278.933	278.966	278.995	279.019	279.040	279.056	279.070	279.081	279.089	279.094	279.096
279.986	279.901	279.827	279.763	279.708	279.660	279.618	279.583	279.554	279.530	279.510	279.494	279.483	279.476	279.472
279.646	279.601	279.561	279.526	279.496	279.471	279.448	279.430	279.414	279.401	279.390	279.382	279.375	279.371	279.369
