V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
243.178	243.178	243.178	243.178	243.178	243.178	243.178	243.178	243.178	243.178	243.178	243.178	243.178	243.178	243.178
273.225	273.219	273.215	273.211	273.207	273.204	273.201	273.199	273.197	273.196	273.195	273.194	273.193	273.192	273.192
272.804	272.847	272.885	272.917	272.946	272.970	272.991	273.009	273.024	273.036	273.046	273.054	273.060	273.064	273.065
272.790	272.835	272.874	272.908	272.937	272.962	272.984	273.003	273.018	273.031	273.041	273.049	273.055	273.059	273.061
273.576	273.530	273.490	273.456	273.426	273.400	273.377	273.359	273.343	273.329	273.319	273.310	273.304	273.300	273.298
273.729	273.665	273.610	273.562	273.521	273.485	273.454	273.428	273.406	273.387	273.373	273.361	273.353	273.347	273.344
273.468	273.434	273.405	273.380	273.358	273.339	273.323	273.309	273.298	273.288	273.280	273.274	273.270	273.267	273.265
273.258	273.249	273.241	273.234	273.228	273.223	273.218	273.215	273.211	273.209	273.207	273.205	273.204	273.203	273.202
273.966	273.876	273.797	273.728	273.668	273.617	273.573	273.535	273.504	273.478	273.456	273.440	273.428	273.420	273.416
273.751	273.685	273.628	273.578	273.535	273.497	273.465	273.438	273.415	273.396	273.381	273.369	273.360	273.354	273.351
279.543	278.811	278.172	277.617	277.136	276.721	276.365	276.062	275.807	275.596	275.425	275.292	275.194	275.129	275.097
272.544	272.617	272.680	272.736	272.784	272.825	272.860	272.891	272.916	272.937	272.954	272.967	272.977	272.984	272.987
272.896	272.928	272.957	272.981	273.003	273.021	273.037	273.050	273.062	273.071	273.079	273.084	273.089	273.092	273.093
272.844	272.883	272.916	272.945	272.971	272.992	273.011	273.027	273.040	273.051	273.060	273.067	273.073	273.076	273.078
272.398	272.488	272.566	272.634	272.693	272.744	272.788	272.825	272.856	272.882	272.903	272.919	272.931	272.939	272.943
272.795	272.839	272.878	272.911	272.940	272.965	272.987	273.005	273.020	273.033	273.043	273.051	273.057	273.061	273.063
272.799	272.843	272.881	272.914	272.942	272.967	272.988	273.006	273.022	273.034	273.044	273.052	273.058	273.062	273.064
271.981	272.118	272.239	272.343	272.433	272.512	272.579	272.636	272.684	272.723	272.755	272.781	272.799	272.811	272.817
273.922	273.837	273.762	273.697	273.641	273.592	273.551	273.515	273.486	273.461	273.441	273.425	273.414	273.406	273.403
274.924	274.723	274.548	274.396	274.264	274.150	274.052	273.969	273.899	273.842	273.795	273.758	273.731	273.713	273.705
273.429	273.400	273.375	273.353	273.334	273.318	273.304	273.292	273.282	273.274	273.267	273.262	273.258	273.255	273.254
272.149	272.267	272.370	272.460	272.538	272.605	272.663	272.712	272.753	272.787	272.815	272.836	272.852	272.863	272.868
272.560	272.631	272.693	272.747	272.794	272.834	272.869	272.898	272.923	272.943	272.960	272.973	272.983	272.989	272.992
272.792	272.836	272.875	272.909	272.938	272.963	272.985	273.003	273.019	273.031	273.042	273.050	273.056	273.060	273.062
272.788	272.833	272.872	272.906	272.936	272.961	272.983	273.001	273.017	273.030	273.040	273.049	273.055	273.059	273.061
273.283	273.271	273.261	273.251	273.244	273.237	273.231	273.226	273.222	273.218	273.215	273.213	273.211	273.210	273.210
274.384	274.246	274.125	274.019	273.928	273.850	273.782	273.725	273.676	273.636	273.604	273.579	273.560	273.548	273.542
275.086	274.867	274.676	274.509	274.365	274.240	274.134	274.043	273.966	273.903	273.852	273.812	273.783	273.763	273.754
273.637	273.584	273.538	273.498	273.464	273.434	273.408	273.386	273.368	273.352	273.340	273.331	273.324	273.319	273.317
273.263	273.253	273.245	273.237	273.231	273.225	273.221	273.217	273.213	273.210	273.208	273.206	273.205	273.204	273.204
273.194	273.192	273.191	273.189	273.188	273.187	273.186	273.185	273.185	273.184	273.184	273.184	273.183	273.183	273.183
277.052	276.606	276.218	275.880	275.587	275.335	275.118	274.934	274.778	274.650	274.546	274.465	274.405	274.366	274.346
274.448	274.302	274.175	274.064	273.968	273.885	273.814	273.754	273.703	273.661	273.627	273.600	273.580	273.568	273.561
269.014	269.493	269.911	270.274	270.589	270.860	271.093	271.291	271.458	271.596	271.708	271.795	271.859	271.902	271.923
267.542	268.191	268.756	269.247	269.673	270.041	270.356	270.625	270.850	271.037	271.188	271.306	271.393	271.450	271.479
267.203	267.890	268.489	269.010	269.462	269.852	270.186	270.471	270.710	270.908	271.068	271.194	271.286	271.346	271.376
263.467	264.584	265.558	266.405	267.139	267.772	268.316	268.778	269.167	269.489	269.749	269.953	270.103	270.201	270.250
263.353	264.484	265.469	266.326	267.068	267.709	268.259	268.727	269.120	269.446	269.709	269.915	270.067	270.166	270.216
263.014	264.183	265.202	266.089	266.857	267.520	268.089	268.573	268.980	269.317	269.590	269.803	269.959	270.062	270.113
265.731	266.588	267.334	267.984	268.547	269.033	269.449	269.804	270.102	270.349	270.549	270.705	270.820	270.895	270.933
269.806	270.194	270.533	270.827	271.081	271.301	271.490	271.650	271.786	271.897	271.988	272.058	272.110	272.145	272.162
274.222	274.102	273.997	273.906	273.827	273.759	273.701	273.651	273.609	273.575	273.547	273.525	273.509	273.498	273.493
274.675	274.502	274.352	274.222	274.109	274.011	273.927	273.856	273.796	273.747	273.707	273.675	273.652	273.637	273.629
272.524	272.599	272.665	272.722	272.771	272.814	272.850	272.882	272.908	272.930	272.947	272.961	272.971	272.978	272.981
270.146	270.495	270.799	271.063	271.293	271.490	271.660	271.804	271.926	272.026	272.108	272.171	272.218	272.249	272.264
269.127	269.593	270.000	270.353	270.659	270.923	271.150	271.343	271.505	271.639	271.748	271.833	271.895	271.936	271.957
274.788	274.603	274.441	274.301	274.179	274.074	273.984	273.908	273.843	273.790	273.747	273.713	273.688	273.672	273.664
273.769	273.701	273.642	273.590	273.546	273.507	273.474	273.446	273.422	273.403	273.387	273.374	273.365	273.359	273.356
273.769	273.701	273.642	273.590	273.546	273.507	273.474	273.446	273.422	273.403	273.387	273.374	273.365	273.359	273.356
273.995	273.901	273.819	273.748	273.686	273.633	273.587	273.548	273.516	273.489	273.467	273.450	273.437	273.429	273.425
269.920	270.295	270.621	270.906	271.152	271.364	271.547	271.702	271.832	271.940	272.028	272.096	272.146	272.179	272.196
264.146	265.185	266.091	266.879	267.561	268.150	268.656	269.086	269.447	269.747	269.989	270.178	270.318	270.409	270.455
264.938	265.886	266.713	267.431	268.054	268.592	269.052	269.445	269.775	270.048	270.269	270.442	270.569	270.652	270.694
267.316	267.990	268.578	269.089	269.533	269.915	270.243	270.522	270.757	270.951	271.108	271.231	271.322	271.381	271.411
268.335	268.892	269.378	269.800	270.166	270.482	270.753	270.984	271.178	271.338	271.468	271.570	271.644	271.693	271.718
275.467	275.204	274.974	274.775	274.602	274.452	274.324	274.215	274.124	274.048	273.986	273.938	273.903	273.880	273.868
279.996	279.211	278.528	277.933	277.418	276.973	276.592	276.267	275.994	275.768	275.585	275.442	275.337	275.268	275.234
280.675	279.812	279.061	278.407	277.840	277.351	276.932	276.575	276.275	276.026	275.825	275.668	275.552	275.476	275.439
279.882	279.111	278.439	277.854	277.347	276.910	276.535	276.216	275.947	275.725	275.545	275.405	275.301	275.233	275.200
275.700	275.409	275.157	274.937	274.746	274.582	274.441	274.321	274.220	274.136	274.068	274.016	273.977	273.951	273.938
276.486	276.106	275.774	275.485	275.235	275.020	274.834	274.677	274.545	274.435	274.346	274.277	274.226	274.192	274.176
271.165	271.397	271.599	271.774	271.926	272.058	272.170	272.266	272.347	272.413	272.467	272.510	272.541	272.561	272.571
271.165	271.397	271.599	271.774	271.926	272.058	272.170	272.266	272.347	272.413	272.467	272.510	272.541	272.561	272.571
269.127	269.593	270.000	270.353	270.659	270.923	271.150	271.343	271.505	271.639	271.748	271.833	271.895	271.936	271.957
270.373	270.695	270.977	271.221	271.433	271.616	271.773	271.907	272.019	272.112	272.188	272.246	272.290	272.318	272.332
272.410	272.499	272.576	272.643	272.701	272.751	272.794	272.830	272.861	272.887	272.907	272.923	272.935	272.943	272.947
