V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
248.616	248.616	248.616	248.616	248.616	248.616	248.616	248.616	248.616	248.616	248.616	248.616	248.616	248.616	248.616
278.734	278.720	278.708	278.698	278.689	278.682	278.675	278.669	278.665	278.661	278.658	278.655	278.653	278.652	278.652
278.645	278.642	278.639	278.636	278.634	278.632	278.631	278.629	278.628	278.627	278.626	278.626	278.625	278.625	278.625
278.575	278.579	278.583	278.587	278.590	278.593	278.595	278.597	278.599	278.600	278.601	278.602	278.603	278.603	278.604
276.951	277.143	277.310	277.455	277.581	277.689	277.782	277.862	277.928	277.984	278.028	278.063	278.089	278.106	278.114
276.348	276.609	276.837	277.034	277.206	277.354	277.481	277.589	277.679	277.755	277.815	277.863	277.898	277.921	277.932
278.334	278.367	278.395	278.420	278.441	278.459	278.475	278.488	278.500	278.509	278.517	278.522	278.527	278.530	278.531
279.841	279.700	279.577	279.471	279.378	279.298	279.229	279.171	279.122	279.081	279.049	279.023	279.004	278.992	278.985
279.945	279.792	279.659	279.543	279.443	279.356	279.282	279.218	279.165	279.121	279.085	279.057	279.037	279.024	279.017
279.293	279.215	279.147	279.088	279.037	278.993	278.955	278.923	278.896	278.873	278.855	278.841	278.830	278.824	278.820
278.159	278.211	278.257	278.297	278.332	278.362	278.387	278.409	278.427	278.442	278.455	278.464	278.471	278.476	278.478
278.759	278.743	278.728	278.716	278.705	278.696	278.688	278.681	278.675	278.670	278.666	278.663	278.661	278.660	278.659
279.582	279.471	279.374	279.290	279.217	279.154	279.100	279.054	279.015	278.983	278.957	278.937	278.922	278.912	278.907
279.409	279.318	279.238	279.169	279.109	279.057	279.013	278.975	278.944	278.917	278.896	278.879	278.867	278.859	278.855
279.165	279.102	279.047	278.999	278.957	278.922	278.891	278.865	278.843	278.825	278.810	278.798	278.790	278.784	278.782
278.284	278.322	278.355	278.384	278.409	278.431	278.450	278.465	278.479	278.490	278.499	278.506	278.511	278.514	278.516
278.323	278.357	278.386	278.412	278.434	278.453	278.469	278.483	278.495	278.505	278.513	278.519	278.523	278.526	278.528
277.112	277.285	277.436	277.567	277.681	277.779	277.863	277.934	277.995	278.045	278.085	278.116	278.140	278.155	278.162
276.579	276.814	277.018	277.195	277.349	277.482	277.596	277.693	277.775	277.842	277.897	277.940	277.971	277.992	278.002
276.353	276.613	276.840	277.037	277.208	277.356	277.483	277.590	277.681	277.756	277.817	277.864	277.899	277.922	277.933
274.955	275.376	275.743	276.063	276.339	276.578	276.783	276.957	277.104	277.225	277.324	277.400	277.457	277.494	277.512
274.964	275.384	275.750	276.069	276.345	276.583	276.787	276.961	277.108	277.229	277.327	277.403	277.459	277.496	277.515
275.679	276.016	276.311	276.567	276.789	276.981	277.145	277.285	277.403	277.500	277.579	277.640	277.686	277.715	277.730
276.346	276.607	276.835	277.033	277.204	277.352	277.479	277.587	277.678	277.754	277.815	277.862	277.897	277.920	277.932
275.881	276.196	276.470	276.708	276.915	277.094	277.247	277.377	277.486	277.577	277.650	277.708	277.750	277.778	277.791
276.433	276.684	276.903	277.093	277.258	277.401	277.523	277.627	277.714	277.787	277.845	277.891	277.925	277.947	277.958
277.951	278.027	278.094	278.152	278.202	278.246	278.283	278.315	278.341	278.363	278.381	278.395	278.405	278.412	278.415
278.343	278.374	278.402	278.425	278.446	278.464	278.479	278.492	278.503	278.512	278.519	278.525	278.529	278.532	278.534
277.156	277.324	277.470	277.598	277.708	277.803	277.885	277.955	278.013	278.061	278.101	278.131	278.154	278.168	278.176
277.120	277.292	277.442	277.572	277.685	277.783	277.867	277.938	277.998	278.048	278.088	278.119	278.142	278.157	278.165
276.935	277.128	277.297	277.443	277.570	277.680	277.774	277.854	277.921	277.977	278.022	278.058	278.084	278.101	278.109
277.404	277.543	277.665	277.770	277.862	277.941	278.009	278.067	278.115	278.155	278.188	278.213	278.232	278.244	278.250
277.823	277.914	277.994	278.063	278.123	278.175	278.219	278.257	278.289	278.315	278.336	278.353	278.365	278.373	278.377
278.305	278.340	278.372	278.399	278.422	278.443	278.460	278.475	278.487	278.498	278.506	278.513	278.517	278.521	278.522
277.915	277.996	278.066	278.127	278.180	278.226	278.265	278.298	278.327	278.350	278.369	278.383	278.394	278.401	278.405
278.071	278.134	278.189	278.236	278.277	278.313	278.343	278.369	278.391	278.409	278.424	278.435	278.443	278.449	278.452
278.309	278.344	278.375	278.402	278.425	278.445	278.462	278.477	278.489	278.499	278.508	278.514	278.519	278.522	278.523
278.137	278.192	278.240	278.282	278.318	278.349	278.376	278.399	278.418	278.434	278.447	278.457	278.464	278.469	278.472
277.348	277.494	277.621	277.732	277.827	277.910	277.981	278.041	278.092	278.134	278.168	278.195	278.214	278.227	278.234
277.876	277.961	278.036	278.100	278.156	278.204	278.246	278.281	278.310	278.335	278.355	278.370	278.382	278.389	278.393
277.035	277.217	277.376	277.513	277.633	277.736	277.825	277.900	277.963	278.015	278.058	278.091	278.115	278.131	278.139
277.057	277.236	277.393	277.528	277.646	277.748	277.835	277.909	277.972	278.024	278.065	278.098	278.122	278.138	278.146
276.344	276.605	276.833	277.031	277.203	277.351	277.478	277.586	277.677	277.753	277.814	277.861	277.896	277.919	277.931
277.549	277.672	277.779	277.872	277.953	278.022	278.082	278.133	278.175	278.211	278.239	278.262	278.278	278.289	278.294
278.089	278.150	278.202	278.248	278.288	278.323	278.352	278.377	278.398	278.416	278.430	278.441	278.449	278.454	278.457
279.439	279.344	279.262	279.190	279.128	279.074	279.028	278.989	278.956	278.929	278.907	278.889	278.877	278.868	278.864
280.422	280.214	280.033	279.875	279.739	279.621	279.520	279.434	279.362	279.302	279.254	279.216	279.188	279.170	279.160
279.704	279.579	279.470	279.375	279.293	279.222	279.161	279.109	279.066	279.030	279.000	278.977	278.961	278.950	278.944
279.272	279.197	279.131	279.074	279.024	278.981	278.945	278.913	278.887	278.865	278.848	278.834	278.824	278.817	278.814
278.840	278.814	278.792	278.772	278.755	278.741	278.728	278.718	278.709	278.701	278.695	278.690	278.687	278.685	278.684
279.517	279.414	279.323	279.245	279.176	279.118	279.067	279.024	278.988	278.958	278.934	278.915	278.901	278.892	278.888
280.197	280.015	279.857	279.719	279.599	279.496	279.408	279.332	279.269	279.217	279.174	279.141	279.117	279.101	279.093
280.168	279.990	279.834	279.699	279.581	279.480	279.393	279.319	279.257	279.206	279.164	279.132	279.108	279.092	279.084
279.883	279.737	279.610	279.500	279.404	279.321	279.250	279.190	279.139	279.097	279.063	279.037	279.017	279.004	278.998
280.639	280.406	280.203	280.027	279.874	279.742	279.629	279.533	279.452	279.385	279.330	279.288	279.257	279.236	279.226
281.507	281.175	280.885	280.633	280.414	280.226	280.064	279.926	279.810	279.714	279.637	279.576	279.532	279.502	279.488
281.799	281.433	281.114	280.836	280.596	280.388	280.210	280.058	279.931	279.825	279.740	279.673	279.624	279.592	279.576
281.515	281.182	280.891	280.638	280.419	280.230	280.068	279.930	279.814	279.717	279.640	279.579	279.534	279.505	279.490
281.604	281.260	280.961	280.700	280.474	280.279	280.112	279.970	279.850	279.751	279.671	279.608	279.562	279.532	279.517
281.691	281.337	281.029	280.761	280.528	280.328	280.156	280.009	279.886	279.784	279.702	279.637	279.590	279.559	279.543
280.697	280.458	280.249	280.068	279.910	279.775	279.658	279.559	279.476	279.407	279.351	279.307	279.275	279.254	279.244
281.043	280.764	280.521	280.309	280.125	279.967	279.831	279.716	279.619	279.538	279.473	279.422	279.385	279.360	279.348
281.245	280.942	280.679	280.449	280.251	280.079	279.932	279.807	279.702	279.615	279.544	279.489	279.449	279.422	279.409
280.642	280.409	280.206	280.029	279.876	279.744	279.631	279.534	279.453	279.386	279.331	279.289	279.258	279.237	279.227
